Name:          Centro_Campos
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        301         
#Edges:        67          
#Arcs:         432         
#Required N:   4           
#Required E:   64          
#Required A:   392         

ReN.     DEMAND   S.COST  
N220     580      6
N184     970      8
N286     650      5
N124     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       1        2        0.26     57.54    0.69    
E2       13       15       0.48     105.74   1.27    
E3       18       20       0.26     57.80    0.69    
E4       31       32       0.44     96.55    1.16    
E5       50       51       0.30     66.25    0.80    
E6       58       64       0.23     50.12    0.60    
E7       53       71       0.25     54.50    0.66    
E8       51       72       0.12     25.88    0.31    
E9       51       73       1.09     241.58   2.90    
E10      76       81       0.26     57.40    0.69    
E11      89       90       1.17     258.85   3.11    
E12      30       44       0.71     157.38   1.89    
E13      71       103      0.41     90.59    1.09    
E14      110      111      0.92     205.19   2.47    
E15      99       133      0.29     63.34    0.76    
E16      136      137      0.20     44.29    0.53    
E17      52       155      0.37     81.84    0.98    
E18      93       164      0.50     111.80   1.34    
E19      93       165      0.50     111.68   1.34    
E20      170      171      0.16     36.00    0.43    
E21      125      176      0.23     51.90    0.62    
E22      103      173      0.48     105.82   1.27    
E23      165      181      0.76     167.78   2.02    
E24      196      197      0.41     92.03    1.11    
E25      208      209      0.28     62.11    0.75    
E26      5        223      0.03     7.29     0.09    
E27      138      225      0.15     32.73    0.39    
E28      56       210      0.35     77.40    0.93    
E29      227      228      0.14     31.02    0.37    
E30      116      231      0.13     28.91    0.35    
E31      207      215      0.13     28.56    0.34    
E32      207      218      0.23     50.73    0.61    
E33      228      232      0.19     42.19    0.51    
E34      141      223      0.05     11.15    0.13    
E35      141      231      0.27     58.94    0.71    
E36      223      250      0.39     87.28    1.05    
E37      252      253      0.22     48.46    0.58    
E38      255      256      0.68     151.41   1.82    
E39      11       255      0.68     151.58   1.82    
E40      179      236      0.55     121.09   1.46    
E41      179      254      0.50     111.48   1.34    
E42      253      266      0.35     76.93    0.92    
E43      253      267      0.64     141.99   1.71    
E44      268      269      0.25     55.38    0.67    
E45      72       90       0.14     30.46    0.37    
E46      72       160      0.25     54.55    0.66    
E47      269      272      0.22     49.15    0.59    
E48      185      269      0.22     48.85    0.59    
E49      266      279      0.32     70.63    0.85    
E50      281      283      0.39     85.85    1.03    
E51      195      275      0.48     106.54   1.28    
E52      192      254      0.25     55.44    0.67    
E53      245      253      0.41     90.78    1.09    
E54      90       293      0.28     62.41    0.75    
E55      84       136      0.80     178.52   2.15    
E56      296      297      0.11     23.95    0.29    
E57      279      298      0.33     72.85    0.88    
E58      279      291      0.27     58.99    0.71    
E59      107      297      0.33     73.91    0.89    
E60      91       103      0.37     82.27    0.99    
E61      297      299      0.17     38.71    0.47    
E62      295      300      0.25     56.56    0.68    
E63      225      228      0.17     37.43    0.45    
E64      2        225      0.18     40.17    0.48    

EDGE     From N.  To N.    T. COST 
NrE1     95       96       28.58   
NrE2     217      258      7.69    
NrE3     273      292      26.33   

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       1        3        0.18     39.54    0.48    
A2       4        5        0.25     56.49    0.68    
A3       6        7        0.15     34.21    0.41    
A4       6        8        1.15     255.83   3.07    
A5       7        9        0.12     27.68    0.33    
A6       7        10       0.46     101.57   1.22    
A7       8        11       0.53     118.43   1.42    
A8       8        12       0.39     86.23    1.04    
A9       13       14       0.17     36.83    0.44    
A10      16       17       0.23     51.61    0.62    
A11      18       19       0.51     113.71   1.37    
A12      21       22       0.08     16.79    0.20    
A13      15       6        0.16     36.43    0.44    
A14      25       21       0.13     29.48    0.35    
A15      10       26       0.19     41.81    0.50    
A16      10       27       0.15     33.50    0.40    
A17      28       29       0.22     48.54    0.58    
A18      28       25       0.49     108.06   1.30    
A19      20       30       0.13     28.47    0.34    
A20      31       33       0.08     18.12    0.22    
A21      36       26       0.15     32.45    0.39    
A22      36       27       0.17     38.40    0.46    
A23      37       38       0.60     133.15   1.60    
A24      37       39       0.58     129.19   1.55    
A25      27       6        0.47     104.44   1.26    
A26      27       13       0.16     35.45    0.43    
A27      40       36       0.32     71.63    0.86    
A28      40       41       0.14     31.76    0.38    
A29      42       43       0.33     73.75    0.89    
A30      42       44       0.50     111.36   1.34    
A31      47       49       0.59     130.94   1.57    
A32      50       52       0.14     31.68    0.38    
A33      12       53       0.56     123.24   1.48    
A34      12       54       0.25     56.04    0.67    
A35      55       56       0.18     40.81    0.49    
A36      55       57       0.36     79.91    0.96    
A37      32       58       0.16     35.95    0.43    
A38      59       60       0.46     101.93   1.23    
A39      61       62       0.41     91.99    1.11    
A40      61       63       0.32     70.29    0.84    
A41      58       38       0.47     103.88   1.25    
A42      65       66       0.33     74.25    0.89    
A43      65       67       0.21     46.68    0.56    
A44      68       69       0.07     16.53    0.20    
A45      53       70       0.55     122.15   1.47    
A46      74       75       0.26     56.86    0.68    
A47      14       68       0.25     55.62    0.67    
A48      14       40       0.16     34.54    0.42    
A49      70       15       0.17     38.49    0.46    
A50      70       76       0.26     57.67    0.69    
A51      29       22       0.45     100.63   1.21    
A52      29       59       0.21     46.85    0.56    
A53      73       77       0.30     65.55    0.79    
A54      78       79       0.48     107.44   1.29    
A55      78       80       0.25     54.86    0.66    
A56      81       82       0.27     59.53    0.72    
A57      76       14       0.22     49.48    0.59    
A58      83       84       0.51     113.33   1.36    
A59      44       85       0.18     40.09    0.48    
A60      86       87       0.20     44.20    0.53    
A61      86       10       0.13     27.99    0.34    
A62      63       88       0.22     48.51    0.58    
A63      63       86       0.22     47.95    0.58    
A64      89       91       0.12     27.20    0.33    
A65      92       93       0.38     83.61    1.00    
A66      92       94       0.50     110.02   1.32    
A67      95       97       0.17     38.71    0.47    
A68      95       98       0.22     48.44    0.58    
A69      30       99       0.24     53.89    0.65    
A70      100      101      0.70     155.12   1.86    
A71      100      102      0.38     84.21    1.01    
A72      71       54       0.53     117.53   1.41    
A73      94       104      0.38     84.72    1.02    
A74      94       105      0.25     54.48    0.65    
A75      41       21       0.26     58.73    0.71    
A76      41       16       0.25     55.93    0.67    
A77      106      107      0.27     59.88    0.72    
A78      106      108      0.38     83.71    1.01    
A79      101      109      0.36     80.13    0.96    
A80      101      92       0.51     112.63   1.35    
A81      110      18       0.03     7.43     0.09    
A82      112      113      0.26     56.94    0.68    
A83      112      114      0.73     161.76   1.94    
A84      115      4        0.15     33.66    0.40    
A85      115      116      0.05     10.41    0.13    
A86      117      118      0.11     24.02    0.29    
A87      117      65       0.09     19.59    0.24    
A88      119      121      0.03     7.23     0.09    
A89      122      123      0.63     140.00   1.68    
A90      122      124      0.47     105.09   1.26    
A91      122      125      0.22     47.98    0.58    
A92      111      19       0.39     86.42    1.04    
A93      126      127      0.43     94.39    1.13    
A94      128      129      0.81     180.47   2.17    
A95      57       130      0.23     51.56    0.62    
A96      57       131      0.53     116.49   1.40    
A97      120      47       1.88     418.06   5.02    
A98      39       128      0.50     109.98   1.32    
A99      99       132      0.30     67.24    0.81    
A100     134      16       0.29     64.20    0.77    
A101     134      55       0.38     84.10    1.01    
A102     88       135      0.25     54.63    0.66    
A103     88       1        0.13     29.58    0.36    
A104     135      138      0.19     42.21    0.51    
A105     135      139      0.47     103.66   1.25    
A106     102      140      0.38     84.62    1.02    
A107     102      141      0.41     90.69    1.09    
A108     87       88       0.23     51.24    0.62    
A109     43       106      0.70     155.85   1.87    
A110     118      142      0.17     38.44    0.46    
A111     22       40       0.25     54.51    0.66    
A112     22       68       0.15     32.91    0.40    
A113     144      74       0.07     16.54    0.20    
A114     108      145      0.11     23.88    0.29    
A115     67       146      0.09     20.81    0.25    
A116     67       147      0.11     23.38    0.28    
A117     146      115      0.29     63.54    0.76    
A118     66       148      0.10     21.93    0.26    
A119     66       108      0.50     111.23   1.34    
A120     152      153      0.06     12.74    0.15    
A121     151      154      0.13     29.23    0.35    
A122     155      80       0.31     68.55    0.82    
A123     148      156      0.11     24.96    0.30    
A124     148      157      0.68     151.67   1.82    
A125     52       158      0.30     66.25    0.80    
A126     159      50       0.29     64.12    0.77    
A127     159      160      0.38     84.79    1.02    
A128     162      114      0.23     51.62    0.62    
A129     93       163      0.38     85.38    1.03    
A130     164      101      0.38     83.73    1.01    
A131     164      102      0.70     154.59   1.86    
A132     166      122      0.35     77.90    0.94    
