  id            u            v           CA      demanda           CS       length   oneway     status
   0   2647883776   2647883774     0.259326    57.535795     0.691536    86.442000    False    servico
   1   2647883776   1200465894     0.178227    39.542630     0.475272    59.409000     True    servico
   2   2647883784   1801769458     0.254616    56.490803     0.678976    84.872000     True    servico
   3   1215493130   2647883791     0.154182    34.207846     0.411152    51.394000     True    servico
   4   1215493130   1215493136     1.153074   255.828685     3.074864   384.358000     True    servico
   5   2647883791   1215470397     0.124749    27.677645     0.332664    41.583000     True    servico
   6   2647883791   1227355158     0.457782   101.566566     1.220752   152.594000     True    servico
   7   1215493136   1215550235     0.533787   118.429542     1.423432   177.929000     True    servico
   8   1215493136   1227355182     0.388653    86.229146     1.036408   129.551000     True    servico
   9   2647883794   1227355223     0.166017    36.833638     0.442712    55.339000     True    servico
  10   2647883794   2647883798     0.476604   105.742541     1.270944   158.868000    False    servico
  11   2647883795   1198360416     0.232608    51.607962     0.620288    77.536000     True    servico
  12   2587347987   1200524695     0.512508   113.708442     1.366688   170.836000     True    servico
  13   2587347987   2587347991     0.260511    57.798707     0.694696    86.837000    False    servico
  14   1200464915   1200465160     0.075657    16.785766     0.201752    25.219000     True    servico
  15   2647883798   1215493130     0.164196    36.429619     0.437856    54.732000     True    servico
  16   2647883798   2647883794     0.476604   105.742541     1.270944   158.868000    False    servico
  17   1200465943   1269518815     0.532494     0.000000     1.419984   177.498000     True   passagem
  18   2647883799   1200464915     0.132855    29.476096     0.354280    44.285000     True    servico
  19   1227355158   1200465222     0.188469    41.814989     0.502584    62.823000     True    servico
  20   1227355158   1227355173     0.151005    33.502976     0.402680    50.335000     True    servico
  21   2647883802   1200524381     0.218790    48.542208     0.583440    72.930000     True    servico
  22   2647883802   2647883799     0.487053   108.060826     1.298808   162.351000     True    servico
  23   2587347991   1200465031     0.128328    28.471706     0.342208    42.776000     True    servico
  24   2587347991   2587347987     0.260511    57.798707     0.694696    86.837000    False    servico
  25   1227355159   1227355185     0.435150    96.545280     1.160400   145.050000    False    servico
  26   1227355159       -39024     0.081657    18.116966     0.217752    27.219000     True    servico
  27   2587347994   1036909039     0.297621     0.000000     0.793656    99.207000     True   passagem
  28   1215493147   1200465222     0.146241    32.446003     0.389976    48.747000     True    servico
  29   1215493147   1227355173     0.173070    38.398464     0.461520    57.690000     True    servico
  30   1200465957   1200465688     0.600141   133.151283     1.600376   200.047000     True    servico
  31   1200465957   1200465103     0.582288   129.190298     1.552768   194.096000     True    servico
  32   1227355173   1215493130     0.470742   104.441958     1.255312   156.914000     True    servico
  33   1227355173   2647883794     0.159768    35.447194     0.426048    53.256000     True    servico
  34   1227355175   1215493147     0.322854    71.630541     0.860944   107.618000     True    servico
  35   1227355175   1227355282     0.143163    31.763098     0.381768    47.721000     True    servico
  36   1200524328   1200465143     0.332424    73.753805     0.886464   110.808000     True    servico
  37   1200524328   1232303221     0.501906   111.356211     1.338416   167.302000     True    servico
  38   1200464936   1200465943     0.153633     0.000000     0.409688    51.211000     True   passagem
  39   1200464936   1200465297     0.079062     0.000000     0.210832    26.354000     True   passagem
  40   1227355178   1200464892     0.033633     0.000000     0.089688    11.211000     True   passagem
  41   1227355178   1195866036     0.590166   130.938163     1.573776   196.722000     True     BR-356
  42   1227355177   1227355215     0.298611    66.251827     0.796296    99.537000    False    servico
  43   1227355177   2591478059     0.142776    31.677235     0.380736    47.592000     True    servico
  44   1227355182   1227355210     0.555483   123.243162     1.481288   185.161000     True    servico
  45   1227355182       -39072     0.252600    56.043520     0.673600    84.200000     True    servico
  46   1200465969   1801769467     0.183924    40.806605     0.490464    61.308000     True    servico
  47   1200465969   1200465091     0.360168    79.909274     0.960448   120.056000     True    servico
  48   1227355185   1227355159     0.435150    96.545280     1.160400   145.050000    False    servico
  49   1227355185   1227355194     0.162021    35.947059     0.432056    54.007000     True    servico
  50   1200524344   1200569962     0.459402   101.925990     1.225072   153.134000     True    servico
  51   1227355193   1198360497     0.414600    91.985920     1.105600   138.200000     True    servico
  52   1227355193   1227355260     0.316830    70.294016     0.844880   105.610000     True    servico
  53   1227355194   1200465551     0.225909    50.121677     0.602424    75.303000    False    servico
  54   1227355194   1200465688     0.468228   103.884186     1.248608   156.076000     True    servico
  55   1200465985   2466854166     0.334656    74.249011     0.892416   111.552000     True    servico
  56   1200465985   1200524560     0.210390    46.678528     0.561040    70.130000     True    servico
  57   1227355207   1200569816     0.074484    16.525517     0.198624    24.828000     True    servico
  58   1227355210   1227355226     0.550578   122.154906     1.468208   183.526000     True    servico
  59   1227355210   1227355272     0.245643    54.499994     0.655048    81.881000    False    servico
  60   1227355215       -39062     0.116640    25.878528     0.311040    38.880000    False    servico
  61   1227355215   1227355177     0.298611    66.251827     0.796296    99.537000    False    servico
  62   1227355215   1227355230     1.088853   241.580186     2.903608   362.951000    False    servico
  63   1200464982   1801769484     0.256299    56.864205     0.683464    85.433000     True    servico
  64   1227355223   1227355207     0.250689    55.619533     0.668504    83.563000     True    servico
  65   1227355223   1227355175     0.155697    34.543974     0.415192    51.899000     True    servico
  66   1227355226   2647883798     0.173463    38.485658     0.462568    57.821000     True    servico
  67   1227355226   5116534888     0.259935    57.670912     0.693160    86.645000     True    servico
  68   1200524381   1200465160     0.453564   100.630733     1.209504   151.188000     True    servico
  69   1200524381   1200524344     0.211179    46.853581     0.563144    70.393000     True    servico
  70   1227355230       -39034     0.295470    65.554944     0.787920    98.490000     True    servico
  71   1227355230   1227355215     1.088853   241.580186     2.903608   362.951000    False    servico
  72   1200466016   1200465912     0.484263   107.441818     1.291368   161.421000     True    servico
  73   1200466016   1200465829     0.247287    54.864742     0.659432    82.429000     True    servico
  74   5116534887       -39036     0.268305    59.527936     0.715480    89.435000     True    servico
  75   5116534887   5116534888     0.258702    57.397350     0.689872    86.234000    False    servico
  76   5116534888   1227355223     0.223002    49.476710     0.594672    74.334000     True    servico
  77   5116534888   5116534887     0.258702    57.397350     0.689872    86.234000    False    servico
  78   1200524395   1200524204     0.510786   113.326387     1.362096   170.262000     True    servico
  79   1232303221   1200465031     0.709362   157.383782     1.891632   236.454000    False    servico
  80   1232303221   1200524664     0.180696    40.090419     0.481856    60.232000     True    servico
  81   1227355258   1200465133     0.199221    44.200499     0.531256    66.407000     True    servico
  82   1227355258   1227355158     0.126168    27.992474     0.336448    42.056000     True    servico
  83   1227355260   1215508702     0.218646    48.510259     0.583056    72.882000     True    servico
  84   1227355260   1227355258     0.216105    47.946496     0.576280    72.035000     True    servico
  85   1227355263       -39008     1.166688   258.849178     3.111168   388.896000    False    servico
  86   1227355263   1195866064     0.122577    27.195750     0.326872    40.859000     True    servico
  87   1217426562   1200569659     0.376851    83.610675     1.004936   125.617000     True    servico
  88   1217426562   1217426575     0.495870   110.017024     1.322320   165.290000     True    servico
  89   1200466053       -39018     0.085740     0.000000     0.228640    28.580000    False   passagem
  90   1200466053   1198360418     0.174459    38.706637     0.465224    58.153000     True    servico
