  id            u            v           CA      demanda           CS       length   oneway     status
   0            1            2     0.259326    57.535795     0.691536    86.442000    False    servico
   1            1            3     0.178227    39.542630     0.475272    59.409000     True    servico
   2            4            5     0.254616    56.490803     0.678976    84.872000     True    servico
   3            6            7     0.154182    34.207846     0.411152    51.394000     True    servico
   4            6            8     1.153074   255.828685     3.074864   384.358000     True    servico
   5            7            9     0.124749    27.677645     0.332664    41.583000     True    servico
   6            7           10     0.457782   101.566566     1.220752   152.594000     True    servico
   7            8           11     0.533787   118.429542     1.423432   177.929000     True    servico
   8            8           12     0.388653    86.229146     1.036408   129.551000     True    servico
   9           13           14     0.166017    36.833638     0.442712    55.339000     True    servico
  10           13           15     0.476604   105.742541     1.270944   158.868000    False    servico
  11           16           17     0.232608    51.607962     0.620288    77.536000     True    servico
  12           18           19     0.512508   113.708442     1.366688   170.836000     True    servico
  13           18           20     0.260511    57.798707     0.694696    86.837000    False    servico
  14           21           22     0.075657    16.785766     0.201752    25.219000     True    servico
  15           15            6     0.164196    36.429619     0.437856    54.732000     True    servico
  16           15           13     0.476604   105.742541     1.270944   158.868000    False    servico
  17           23           24     0.532494     0.000000     1.419984   177.498000     True   passagem
  18           25           21     0.132855    29.476096     0.354280    44.285000     True    servico
  19           10           26     0.188469    41.814989     0.502584    62.823000     True    servico
  20           10           27     0.151005    33.502976     0.402680    50.335000     True    servico
  21           28           29     0.218790    48.542208     0.583440    72.930000     True    servico
  22           28           25     0.487053   108.060826     1.298808   162.351000     True    servico
  23           20           30     0.128328    28.471706     0.342208    42.776000     True    servico
  24           20           18     0.260511    57.798707     0.694696    86.837000    False    servico
  25           31           32     0.435150    96.545280     1.160400   145.050000    False    servico
  26           31           33     0.081657    18.116966     0.217752    27.219000     True    servico
  27           34           35     0.297621     0.000000     0.793656    99.207000     True   passagem
  28           36           26     0.146241    32.446003     0.389976    48.747000     True    servico
  29           36           27     0.173070    38.398464     0.461520    57.690000     True    servico
  30           37           38     0.600141   133.151283     1.600376   200.047000     True    servico
  31           37           39     0.582288   129.190298     1.552768   194.096000     True    servico
  32           27            6     0.470742   104.441958     1.255312   156.914000     True    servico
  33           27           13     0.159768    35.447194     0.426048    53.256000     True    servico
  34           40           36     0.322854    71.630541     0.860944   107.618000     True    servico
  35           40           41     0.143163    31.763098     0.381768    47.721000     True    servico
  36           42           43     0.332424    73.753805     0.886464   110.808000     True    servico
  37           42           44     0.501906   111.356211     1.338416   167.302000     True    servico
  38           45           23     0.153633     0.000000     0.409688    51.211000     True   passagem
  39           45           46     0.079062     0.000000     0.210832    26.354000     True   passagem
  40           47           48     0.033633     0.000000     0.089688    11.211000     True   passagem
  41           47           49     0.590166   130.938163     1.573776   196.722000     True     BR-356
  42           50           51     0.298611    66.251827     0.796296    99.537000    False    servico
  43           50           52     0.142776    31.677235     0.380736    47.592000     True    servico
  44           12           53     0.555483   123.243162     1.481288   185.161000     True    servico
  45           12           54     0.252600    56.043520     0.673600    84.200000     True    servico
  46           55           56     0.183924    40.806605     0.490464    61.308000     True    servico
  47           55           57     0.360168    79.909274     0.960448   120.056000     True    servico
  48           32           31     0.435150    96.545280     1.160400   145.050000    False    servico
  49           32           58     0.162021    35.947059     0.432056    54.007000     True    servico
  50           59           60     0.459402   101.925990     1.225072   153.134000     True    servico
  51           61           62     0.414600    91.985920     1.105600   138.200000     True    servico
  52           61           63     0.316830    70.294016     0.844880   105.610000     True    servico
  53           58           64     0.225909    50.121677     0.602424    75.303000    False    servico
  54           58           38     0.468228   103.884186     1.248608   156.076000     True    servico
  55           65           66     0.334656    74.249011     0.892416   111.552000     True    servico
  56           65           67     0.210390    46.678528     0.561040    70.130000     True    servico
  57           68           69     0.074484    16.525517     0.198624    24.828000     True    servico
  58           53           70     0.550578   122.154906     1.468208   183.526000     True    servico
  59           53           71     0.245643    54.499994     0.655048    81.881000    False    servico
  60           51           72     0.116640    25.878528     0.311040    38.880000    False    servico
  61           51           50     0.298611    66.251827     0.796296    99.537000    False    servico
  62           51           73     1.088853   241.580186     2.903608   362.951000    False    servico
  63           74           75     0.256299    56.864205     0.683464    85.433000     True    servico
  64           14           68     0.250689    55.619533     0.668504    83.563000     True    servico
  65           14           40     0.155697    34.543974     0.415192    51.899000     True    servico
  66           70           15     0.173463    38.485658     0.462568    57.821000     True    servico
  67           70           76     0.259935    57.670912     0.693160    86.645000     True    servico
  68           29           22     0.453564   100.630733     1.209504   151.188000     True    servico
  69           29           59     0.211179    46.853581     0.563144    70.393000     True    servico
  70           73           77     0.295470    65.554944     0.787920    98.490000     True    servico
  71           73           51     1.088853   241.580186     2.903608   362.951000    False    servico
  72           78           79     0.484263   107.441818     1.291368   161.421000     True    servico
  73           78           80     0.247287    54.864742     0.659432    82.429000     True    servico
  74           81           82     0.268305    59.527936     0.715480    89.435000     True    servico
  75           81           76     0.258702    57.397350     0.689872    86.234000    False    servico
  76           76           14     0.223002    49.476710     0.594672    74.334000     True    servico
  77           76           81     0.258702    57.397350     0.689872    86.234000    False    servico
  78           83           84     0.510786   113.326387     1.362096   170.262000     True    servico
