Name:          Centro_Campos_v2
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    105           
#Nodes:        257         
#Edges:        51          
#Arcs:         372         
#Required N:   3           
#Required E:   49          
#Required A:   339         

ReN.     DEMAND   S.COST  
N109     580      6
N253     650      5
N195     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       1        3        0.26     39.54    0.69    
E2       26       27       0.33     101.57   0.88    
E3       28       29       0.48     58.99    1.27    
E4       55       56       0.26     107.44   0.69    
E5       71       72       0.20     54.63    0.53    
E6       71       73       0.80     44.29    2.15    
E7       76       77       0.37     103.66   0.98    
E8       79       80       0.48     66.25    1.27    
E9       82       83       0.23     171.33   0.62    
E10      80       85       0.41     105.82   1.09    
E11      80       81       0.37     90.59    0.99    
E12      93       94       0.28     158.34   0.75    
E13      101      102      0.13     55.51    0.34    
E14      14       111      0.03     88.10    0.09    
E15      74       113      0.15     45.47    0.39    
E16      47       96       0.35     4.41     0.93    
E17      116      117      0.14     32.20    0.37    
E18      120      122      0.13     71.61    0.35    
E19      117      124      0.19     31.02    0.51    
E20      102      107      0.23     28.56    0.61    
E21      122      128      0.27     28.91    0.71    
E22      111      128      0.05     7.29     0.13    
E23      16       111      0.39     14.83    1.03    
E24      136      137      0.22     24.26    0.58    
E25      145      146      0.17     150.55   0.47    
E26      145      147      0.11     38.71    0.29    
E27      151      152      0.26     86.23    0.69    
E28      157      158      0.44     41.81    1.16    
E29      170      176      0.23     91.99    0.60    
E30      160      164      0.71     83.61    1.89    
E31      85       169      0.25     116.69   0.66    
E32      189      190      0.92     7.43     2.47    
E33      185      197      0.29     67.24    0.76    
E34      11       184      0.50     154.59   1.34    
E35      35       184      0.50     79.80    1.34    
E36      140      214      0.16     98.30    0.43    
E37      7        217      0.50     73.85    1.34    
E38      7        222      0.25     111.48   0.67    
E39      217      226      0.55     73.12    1.46    
E40      137      235      0.41     76.93    1.09    
E41      12       137      0.64     76.93    1.71    
E42      17       27       0.32     57.28    0.85    
E43      17       137      0.35     93.68    0.92    
E44      249      250      0.39     110.91   1.03    
E45      88       246      0.48     73.36    1.28    
E46      20       27       0.27     42.85    0.71    
E47      64       145      0.33     82.71    0.89    
E48      113      117      0.17     32.73    0.45    
E49      3        113      0.18     31.12    0.48    

EDGE     From N.  To N.    T. COST 
NrE1     58       61       28.58   
NrE2     105      238      7.69    

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       1        2        0.18     0.00     0.48    
A2       4        5        0.56     57.54    1.48    
A3       6        4        0.25     123.27   0.67    
A4       6        7        0.32     56.15    0.86    
A5       8        6        0.50     71.29    1.34    
A6       8        9        0.67     111.71   1.79    
A7       10       11       0.39     148.59   1.05    
A8       10       12       0.34     87.20    0.91    
A9       13       14       0.25     75.74    0.68    
A10      15       16       0.54     56.49    1.45    
A11      15       17       0.64     120.50   1.72    
A12      18       20       0.63     20.69    1.68    
A13      19       21       0.25     139.63   0.67    
A14      19       22       0.31     55.56    0.82    
A15      23       24       0.12     68.28    0.33    
A16      23       25       0.46     27.68    1.22    
A17      28       30       0.17     105.74   0.44    
A18      31       32       0.23     36.83    0.62    
A19      33       34       0.49     51.61    1.32    
A20      33       35       0.40     109.58   1.06    
A21      29       36       0.16     105.74   0.44    
A22      39       40       0.13     118.14   0.35    
A23      41       39       0.49     29.48    1.30    
A24      41       42       0.22     108.06   0.58    
A25      43       44       0.58     48.54    1.55    
A26      43       45       0.60     129.19   1.60    
A27      46       47       0.18     133.15   0.49    
A28      46       48       0.36     40.81    0.96    
A29      49       50       0.21     79.91    0.56    
A30      49       51       0.33     46.68    0.89    
A31      52       53       0.25     74.25    0.66    
A32      52       54       0.48     54.86    1.29    
A33      55       57       0.27     57.40    0.72    
A34      56       30       0.22     57.40    0.59    
A35      58       59       0.22     49.48    0.58    
A36      58       60       0.17     48.44    0.47    
A37      62       63       0.38     19.02    1.01    
A38      62       64       0.27     83.71    0.72    
A39      65       66       0.43     59.88    1.13    
A40      67       65       0.11     94.39    0.29    
A41      67       68       0.81     24.03    2.17    
A42      69       1        0.13     180.50   0.36    
A43      69       70       0.25     29.58    0.66    
A44      70       74       0.19     178.52   0.51    
A45      70       75       0.47     42.21    1.25    
A46      76       53       0.31     81.84    0.82    
A47      77       78       0.30     81.84    0.80    
A48      79       81       0.77     105.82   2.06    
A49      82       84       0.34     51.90    0.90    
A50      86       87       0.48     82.27    1.28    
A51      86       88       0.19     106.56   0.51    
A52      89       90       0.10     42.81    0.28    
A53      93       95       0.16     62.11    0.43    
A54      96       48       0.12     77.40    0.32    
A55      97       98       0.05     26.60    0.13    
A56      99       96       0.16     11.19    0.44    
A57      99       100      0.25     36.57    0.67    
A58      101      103      0.16     28.56    0.43    
A59      107      108      0.02     50.73    0.07    
A60      87       109      0.26     5.43     0.70    
A61      14       18       0.40     613.96   1.06    
A62      112      97       0.21     7.29     0.57    
A63      100      112      0.10     47.51    0.26    
A64      74       98       0.20     21.98    0.55    
A65      114      115      0.02     32.73    0.05    
A66      47       112      0.15     77.40    0.39    
A67      116      118      0.03     31.02    0.07    
A68      119      94       0.05     5.97     0.13    
A69      119      103      0.22     11.09    0.59    
A70      120      121      0.32     48.88    0.86    
A71      94       123      0.20     62.11    0.52    
A72      102      99       0.17     37.43    0.46    
A73      125      114      0.11     50.73    0.30    
A74      125      126      0.19     25.00    0.50    
A75      127      58       0.21     41.42    0.57    
A76      122      13       0.05     47.51    0.15    
A77      129      124      0.02     58.94    0.05    
A78      103      99       0.12     27.40    0.32    
A79      108      100      0.19     26.98    0.51    
A80      108      97       0.12     42.60    0.33    
A81      126      101      0.18     58.94    0.47    
A82      115      127      0.24     39.13    0.65    
A83      115      131      0.25     53.91    0.68    
A84      124      132      0.15     42.19    0.40    
A85      16       18       0.07     86.06    0.18    
A86      133      134      0.14     86.06    0.38    
A87      133      135      0.07     31.56    0.18    
A88      135      51       0.11     14.81    0.29    
A89      138      65       0.44     48.46    1.19    
A90      24       139      0.45     98.71    1.20    
A91      24       140      0.21     99.79    0.55    
A92      72       24       1.19     44.29    3.17    
A93      72       141      0.29     263.91   0.78    
A94      142      79       0.40     64.89    1.06    
A95      73       89       1.72     178.52   4.58    
A96      34       10       0.51     380.95   1.36    
A97      34       143      0.28     113.38   0.75    
A98      144      106      0.68     62.29    1.81    
A99      148      52       0.31     38.71    0.83    
A100     148      149      0.32     68.72    0.85    
A101     36       23       0.15     70.36    0.41    
A102     36       141      1.15     34.21    3.07    
A103     141      150      0.39     255.83   1.04    
A104     151      153      0.51     57.80    1.37    
A105     40       154      0.08     113.71   0.20    
A106     25       155      0.15     16.79    0.40    
A107     25       156      0.19     33.50    0.50    
A108     157      159      0.08     96.55    0.22    
A109     152      160      0.13     57.80    0.34    
A110     161      155      0.17     66.03    0.46    
A111     161      156      0.15     38.40    0.39    
A112     155      28       0.16     32.45    0.43    
A113     155      36       0.47     35.45    1.26    
A114     162      161      0.32     104.44   0.86    
A115     162      163      0.14     71.63    0.38    
A116     106      164      0.50     31.76    1.34    
A117     106      165      0.33     111.36   0.89    
A118     110      168      0.59     7.46     1.57    
A119     150      142      0.25     130.94   0.66    
A120     150      169      0.56     55.16    1.48    
A121     158      170      0.16     96.55    0.43    
A122     171      172      0.46     35.95    1.23    
A123     173      174      0.32     101.93   0.84    
A124     173      175      0.41     70.29    1.11    
A125     170      45       0.47     50.12    1.25    
A126     177      178      0.07     103.88   0.20    
A127     169      179      0.55     16.53    1.47    
A128     180      127      0.26     54.50    0.68    
A129     30       162      0.16     56.86    0.42    
A130     30       177      0.25     34.54    0.67    
A131     179      29       0.17     55.62    0.46    
A132     179      56       0.26     38.49    0.69    
A133     42       171      0.21     57.67    0.56    
A134     42       154      0.45     46.85    1.21    
A135     90       73       0.51     100.63   1.36    
A136     164      181      0.18     157.38   0.48    
A137     139      25       0.13     40.09    0.34    
A138     139      182      0.20     27.99    0.53    
A139     174      69       0.22     44.20    0.58    
A140     174      139      0.22     48.51    0.58    
A141     9        183      0.50     47.95    1.32    
A142     9        184      0.38     110.02   1.00    
A143     160      185      0.24     157.38   0.65    
A144     121      186      0.70     53.89    1.86    
A145     121      187      0.38     155.12   1.01    
A146     85       142      0.53     90.59    1.40    
A147     183      5        0.38     54.50    1.02    
A148     163      31       0.25     84.72    0.67    
A149     163      40       0.26     55.93    0.71    
A150     186      9        0.51     58.73    1.35    
A151     186      188      0.37     112.63   0.98    
A152     189      151      0.03     81.56    0.09    
A153     191      13       0.15     205.19   0.40    
A154     191      120      0.05     33.66    0.13    
A155     131      49       0.09     10.41    0.24    
A156     131      192      0.11     19.59    0.29    
A157     193      82       0.22     24.02    0.58    
A158     193      194      0.63     47.98    1.68    
A159     193      195      0.47     140.01   1.26    
A160     190      153      0.39     105.09   1.04    
A161     48       196      0.23     205.19   0.62    
A162     48       21       0.53     51.56    1.40    
A163     44       67       0.50     116.49   1.32    
A164     185      144      0.30     109.98   0.81    
A165     198      46       0.38     63.34    1.01    
A166     198      31       0.29     84.10    0.77    
A167     187      15       0.38     64.20    1.02    
A168     187      128      0.41     84.62    1.09    
A169     182      69       0.23     90.69    0.62    
A170     165      62       0.70     63.34    1.87    
A171     192      199      0.17     8.15     0.46    
A172     154      162      0.25     25.65    0.66    
A173     154      177      0.15     54.51    0.40    
A174     201      180      0.07     32.91    0.20    
A175     63       202      0.11     5.03     0.29    
A176     50       203      0.09     23.88    0.25    
A177     50       204      0.11     20.81    0.28    
A178     203      191      0.29     23.38    0.76    
A179     51       63       0.50     63.54    1.34    
A180     51       205      0.10     111.23   0.26    
A181     118      208      0.13     12.89    0.35    
A182     205      8        1.21     29.23    3.22    
A183     205      133      0.10     267.95   0.27    
A184     209      77       0.43     22.20    1.15    
A185     184      34       0.38     96.38    1.03    
A186     11       186      0.38     111.68   1.01    
A187     11       187      0.70     83.73    1.86    
A188     211      193      0.35     111.80   0.94    
A189     156      182      0.13     77.90    0.35    
A190     156      75       0.25     29.03    0.67    
A191     212      195      0.55     55.73    1.47    
A192     143      213      0.26     122.60   0.69    
A193     214      71       1.05     57.72    2.81    
A194     123      204      0.11     36.01    0.30    
A195     215      90       0.09     39.97    0.24    
A196     181      216      0.59     23.16    1.58    
A197     181      217      0.32     131.43   0.86    
A198     35       183      0.36     71.61    0.96    
A199     219      152      0.41     211.41   1.10    
A200     219      181      0.50     91.21    1.32    
A201     220      148      0.22     109.85   0.60    
A202     95       114      0.19     19.20    0.50    
A203     95       126      0.12     41.97    0.32    
A204     153      219      0.25     26.42    0.67    
A205     153      222      0.33     55.52    0.87    
A206     223      224      1.19     72.18    3.18    
A207     216      165      0.36     264.52   0.96    
A208     225      211      0.21     80.25    0.56    
A209     225      19       0.62     46.41    1.65    
A210     188      226      0.63     137.58   1.67    
A211     188      134      0.70     139.01   1.87    
A212     178      55       0.14     155.65   0.39    
A213     178      171      0.42     32.09    1.12    
A214     59       102      0.35     92.82    0.94    
A215     59       125      0.14     78.42    0.37    
A216     221      201      0.04     30.37    0.11    
A217     224      33       0.28     15.08    0.76    
A218     224      143      0.49     63.15    1.30    
A219     226      216      0.33     108.04   0.88    
A220     228      229      0.35     121.09   0.93    
A221     228      230      0.71     77.39    1.88    
A222     134      135      0.15     156.49   0.39    
A223     134      121      0.38     32.57    1.01    
A224     134      50       0.41     83.92    1.09    
A225     196      119      0.32     90.53    0.85    
A226     231      10       1.01     70.80    2.70    
A227     172      232      0.21     224.98   0.56    
A228     172      233      0.56     46.89    1.50    
A229     234      235      0.35     124.87   0.94    
A230     234      236      0.29     77.80    0.78    
A231     232      212      0.57     64.96    1.53    
