  id            u            v           CA      demanda           CS       length   oneway     status
   0   2647883776   1200465894     0.178228     0.000000     0.475275    59.409331     True    servico
   1   2647883776   2647883774     0.259327    39.542851     0.691538    86.442243    False    servico
   2       -40959   1264443178     0.555583    57.535957     1.481554   185.194281     True    servico
   3       -40957       -40959     0.253102   123.265314     0.674938    84.367212     True    servico
   4       -40957   1264443117     0.321326    56.154816     0.856868   107.108543     True    servico
   5       -40955       -40957     0.503512    71.291446     1.342698   167.837279     True    servico
   6       -40955   1217426562     0.669711   111.712493     1.785896   223.236990     True    servico
   7       -40953   1200569670     0.393029   148.586540     1.048078   131.009796     True    servico
   8       -40953   1237684066     0.341367    87.200120     0.910312   113.789056     True    servico
   9   2647883784   1801769458     0.254615    75.737996     0.678974    84.871692     True    servico
  10       -40951   5117971110     0.543106    56.490598     1.448283   181.035422     True    servico
  11       -40951   1237684083     0.643870   120.497177     1.716988   214.623440     True    servico
  12       -40949       -40947     0.093275     0.000000     0.248733    31.091608     True   passagem
  13       -40949   1237684119     0.629359    20.694574     1.678290   209.786251     True    servico
  14       -40947   1198360329     0.250413   139.633729     0.667767    83.470869     True    servico
  15       -40947   1195800553     0.307757    55.558210     0.820685   102.585587     True    servico
  16   2647883791   1215470397     0.124748    68.280967     0.332661    41.582586     True    servico
  17   2647883791   1227355158     0.457783    27.677369     1.220756   152.594466     True    servico
  18       -40945       -40943     0.328337   101.566877     0.875564   109.445526    False    servico
  19       -40943       -40945     0.328337    72.846942     0.875564   109.445526    False    servico
  20       -40943   1237684083     0.318323    72.846942     0.848862   106.107749    False    servico
  21       -40943   1237684119     0.265868    70.625318     0.708982    88.622772    False    servico
  22   2647883794   2647883798     0.476605    58.987317     1.270946   158.868198    False    servico
  23   2647883794   1227355223     0.166018   105.742673     0.442716    55.339459     True    servico
  24   2647883795   1198360416     0.232609    36.833944     0.620291    77.536389     True    servico
  25       -40939   1200524230     0.493903    51.608221     1.317074   164.634190     True    servico
  26       -40939   1200569724     0.396594   109.580517     1.057583   132.197887     True    servico
  27   2647883798   2647883794     0.476605    87.990914     1.270946   158.868198    False    servico
  28   2647883798   1215493130     0.164195   105.742673     0.437853    54.731573     True    servico
  29   1200465943   1269518815     0.532493     0.000000     1.419981   177.497576     True   passagem
  30   2647883799   1200464915     0.132855   118.142387     0.354281    44.285115     True    servico
  31   2647883802   2647883799     0.487052    29.476173     1.298806   162.350692     True    servico
  32   2647883802   1200524381     0.218789   108.060621     0.583436    72.929508     True    servico
  33   1200465957   1200465103     0.582289    48.541880     1.552769   194.096182     True    servico
  34   1200465957   1200465688     0.600142   129.190418     1.600379   200.047338     True    servico
  35   1200465969   1801769467     0.183924   133.151508     0.490464    61.308005     True    servico
  36   1200465969   1200465091     0.360168    40.806608     0.960449   120.056097     True    servico
  37   1200465985   1200524560     0.210390    79.909338     0.561041    70.130109     True    servico
  38   1200465985   2466854166     0.334656    46.678600     0.892417   111.552163     True    servico
  39   1200466016   1200465829     0.247287    74.249119     0.659431    82.428888     True    servico
  40   1200466016   1200465912     0.484263    54.864668     1.291368   161.421030     True    servico
  41   5116534887   5116534888     0.258702   107.441837     0.689873    86.234092    False    servico
  42   5116534887       -40993     0.268306    57.397411     0.715483    89.435375     True    servico
  43   5116534888   5116534887     0.258702    59.528185     0.689873    86.234092    False    servico
  44   5116534888   1227355223     0.223002    57.397411     0.594672    74.333958     True    servico
  45   1200466053   1200465369     0.218347    49.476683     0.582260    72.782483     True    servico
  46   1200466053   1198360418     0.174460    48.444021     0.465226    58.153280     True    servico
  47   1200466053       -40975     0.085741     0.000000     0.228642    28.580296    False   passagem
  48   1200466069   2466854158     0.377284    19.023045     1.006090   125.761250     True    servico
  49   1200466069   2647883706     0.269901    83.706688     0.719735    89.966838     True    servico
  50   3218294973   1237684088     0.425449    59.881928     1.134531   141.816377     True     BR-356
  51   3218294979   3218294973     0.108288    94.392981     0.288769    36.096069     True    servico
  52   3218294979       -40985     0.813569    24.025544     2.169518   271.189776     True    servico
  53   1215508702   2647883776     0.133318   180.503915     0.355515    44.439417     True    servico
  54   1215508702   1215508704     0.246244    29.578876     0.656652    82.081495     True    servico
