Name:          Centro_Campos
Optimal value: 2400            
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    94           
#Nodes:        301         
#Edges:        67          
#Arcs:         432         
#Required N:   4           
#Required E:   64          
#Required A:   392         

ReN.     DEMAND   S.COST  
N99      580      6
N252     970      8
N291     650      5
N220     729      5

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       1        3        0.26     57.54    0.69    
E2       9        10       0.48     105.74   1.27    
E3       33       34       0.26     57.40    0.69    
E4       53       54       0.20     44.29    0.53    
E5       53       55       0.80     178.52   2.15    
E6       58       59       0.37     81.84    0.98    
E7       61       62       0.48     105.82   1.27    
E8       64       65       0.23     51.90    0.62    
E9       62       67       0.41     90.59    1.09    
E10      62       68       0.37     82.27    0.99    
E11      69       71       0.48     106.54   1.28    
E12      78       80       0.39     85.85    1.03    
E13      82       83       0.28     62.11    0.75    
E14      90       91       0.13     28.56    0.34    
E15      5        100      0.03     7.29     0.09    
E16      56       103      0.15     32.73    0.39    
E17      25       85       0.35     77.40    0.93    
E18      107      108      0.14     31.02    0.37    
E19      111      113      0.13     28.91    0.35    
E20      108      117      0.19     42.19    0.51    
E21      91       96       0.23     50.73    0.61    
E22      113      121      0.27     58.94    0.71    
E23      100      121      0.05     11.15    0.13    
E24      100      126      0.39     87.28    1.05    
E25      131      132      0.22     48.46    0.58    
E26      136      137      0.68     151.58   1.82    
E27      136      138      0.68     151.41   1.82    
E28      153      154      0.17     38.71    0.47    
E29      153      155      0.11     23.95    0.29    
E30      156      157      0.25     56.56    0.68    
E31      165      166      0.26     57.80    0.69    
E32      171      172      0.44     96.55    1.16    
E33      183      184      0.30     66.25    0.80    
E34      186      192      0.23     50.12    0.60    
E35      184      196      1.09     241.58   2.90    
E36      184      197      0.12     25.88    0.31    
E37      202      203      1.17     258.85   3.11    
E38      174      178      0.71     157.38   1.89    
E39      67       185      0.25     54.50    0.66    
E40      211      212      0.92     205.19   2.47    
E41      206      223      0.29     63.34    0.76    
E42      205      240      0.50     111.80   1.34    
E43      205      241      0.50     111.68   1.34    
E44      241      248      0.76     167.78   2.02    
E45      134      247      0.55     121.09   1.46    
E46      141      244      0.16     36.01    0.43    
E47      247      272      0.50     111.48   1.34    
E48      132      278      0.35     76.93    0.92    
E49      132      270      0.41     90.78    1.09    
E50      132      279      0.64     141.99   1.71    
E51      280      281      0.25     55.38    0.67    
E52      281      284      0.22     49.15    0.59    
E53      197      237      0.25     54.55    0.66    
E54      197      203      0.14     30.46    0.37    
E55      251      281      0.22     48.85    0.59    
E56      278      289      0.32     70.63    0.85    
E57      116      257      0.41     92.03    1.11    
E58      256      272      0.25     55.44    0.67    
E59      158      289      0.27     58.99    0.71    
E60      203      298      0.28     62.41    0.75    
E61      289      300      0.33     72.85    0.88    
E62      42       153      0.33     73.91    0.89    
E63      103      108      0.17     37.43    0.45    
E64      3        103      0.18     40.17    0.48    

EDGE     From N.  To N.    T. COST 
NrE1     36       39       28.58   
NrE2     94       273      7.69    
NrE3     285      297      26.33   

ReA.     FROM N.  TO N.    T. COST  DEMAND   S.COST  
A1       1        2        0.18     39.54    0.48    
A2       4        5        0.25     56.49    0.68    
A3       6        7        0.12     27.68    0.33    
A4       6        8        0.46     101.57   1.22    
A5       9        11       0.17     36.83    0.44    
A6       12       13       0.23     51.61    0.62    
A7       10       14       0.16     36.43    0.44    
A8       15       16       0.13     29.48    0.35    
A9       19       15       0.49     108.06   1.30    
A10      19       20       0.22     48.54    0.58    
A11      21       22       0.58     129.19   1.55    
A12      21       23       0.60     133.15   1.60    
A13      24       25       0.18     40.81    0.49    
A14      24       26       0.36     79.91    0.96    
A15      27       28       0.21     46.68    0.56    
A16      27       29       0.33     74.25    0.89    
A17      30       31       0.25     54.86    0.66    
A18      30       32       0.48     107.44   1.29    
A19      33       35       0.27     59.53    0.72    
A20      34       11       0.22     49.48    0.59    
A21      36       37       0.22     48.44    0.58    
A22      36       38       0.17     38.71    0.47    
A23      40       41       0.38     83.71    1.01    
A24      40       42       0.27     59.88    0.72    
A25      43       45       0.03     7.23     0.09    
A26      46       47       0.43     94.39    1.13    
A27      48       49       0.81     180.47   2.17    
A28      44       50       1.88     418.06   5.02    
A29      51       1        0.13     29.58    0.36    
A30      51       52       0.25     54.63    0.66    
A31      52       56       0.19     42.21    0.51    
A32      52       57       0.47     103.66   1.25    
A33      58       31       0.31     68.55    0.82    
A34      59       60       0.30     66.25    0.80    
A35      61       63       0.34     75.45    0.91    
A36      64       66       0.34     74.97    0.90    
A37      69       70       0.16     35.31    0.42    
A38      72       70       0.48     106.56   1.28    
A39      72       71       0.19     42.81    0.51    
A40      45       73       0.18     40.92    0.49    
A41      75       76       0.10     23.14    0.28    
A42      78       79       0.28     61.46    0.74    
A43      82       84       0.16     35.62    0.43    
A44      74       44       0.43     95.08    1.14    
A45      85       26       0.12     26.60    0.32    
A46      86       87       0.05     11.19    0.13    
