  id            u            v           CA      demanda           CS       length   oneway     status
   0   2647883776   1200465894     0.178228    39.542851     0.475275    59.409331     True    servico
   1   2647883776   2647883774     0.259327    57.535957     0.691538    86.442243    False    servico
   2   2647883784   1801769458     0.254615    56.490598     0.678974    84.871692     True    servico
   3   2647883791   1215470397     0.124748    27.677369     0.332661    41.582586     True    servico
   4   2647883791   1227355158     0.457783   101.566877     1.220756   152.594466     True    servico
   5   2647883794   2647883798     0.476605   105.742673     1.270946   158.868198    False    servico
   6   2647883794   1227355223     0.166018    36.833944     0.442716    55.339459     True    servico
   7   2647883795   1198360416     0.232609    51.608221     0.620291    77.536389     True    servico
   8   2647883798   2647883794     0.476605   105.742673     1.270946   158.868198    False    servico
   9   2647883798   1215493130     0.164195    36.429335     0.437853    54.731573     True    servico
  10   2647883799   1200464915     0.132855    29.476173     0.354281    44.285115     True    servico
  11   1200465943   1269518815     0.532493     0.000000     1.419981   177.497576     True   passagem
  12   2647883802   2647883799     0.487052   108.060621     1.298806   162.350692     True    servico
  13   2647883802   1200524381     0.218789    48.541880     0.583436    72.929508     True    servico
  14   1200465957   1200465103     0.582289   129.190418     1.552769   194.096182     True    servico
  15   1200465957   1200465688     0.600142   133.151508     1.600379   200.047338     True    servico
  16   1200465969   1801769467     0.183924    40.806608     0.490464    61.308005     True    servico
  17   1200465969   1200465091     0.360168    79.909338     0.960449   120.056097     True    servico
  18   1200465985   1200524560     0.210390    46.678600     0.561041    70.130109     True    servico
  19   1200465985   2466854166     0.334656    74.249119     0.892417   111.552163     True    servico
  20   1200466016   1200465829     0.247287    54.864668     0.659431    82.428888     True    servico
  21   1200466016   1200465912     0.484263   107.441837     1.291368   161.421030     True    servico
  22   5116534887   5116534888     0.258702    57.397411     0.689873    86.234092    False    servico
  23   5116534887       -39036     0.268306    59.528185     0.715483    89.435375     True    servico
  24   5116534888   5116534887     0.258702    57.397411     0.689873    86.234092    False    servico
  25   5116534888   1227355223     0.223002    49.476683     0.594672    74.333958     True    servico
  26   1200466053   1200465369     0.218347    48.444021     0.582260    72.782483     True    servico
  27   1200466053   1198360418     0.174460    38.706823     0.465226    58.153280     True    servico
  28   1200466053       -39018     0.085741     0.000000     0.228642    28.580296    False   passagem
  29   1200466069   2466854158     0.377284    83.706688     1.006090   125.761250     True    servico
  30   1200466069   2647883706     0.269901    59.881928     0.719735    89.966838     True    servico
  31   3221145773   3218294983     0.111478     0.000000     0.297274    37.159310     True   passagem
  32   3221145773   1195741617     0.032601     7.233142     0.086937    10.867101     True    servico
  33   3218294973   3221145773     0.044071     0.000000     0.117524    14.690472     True   passagem
  34   3218294973   1237684088     0.425449    94.392981     1.134531   141.816377     True     BR-356
  35   3218294979   3218294973     0.108288     0.000000     0.288769    36.096069     True   passagem
  36   3218294979       -39028     0.813410   180.468657     2.169094   271.136805     True    servico
  37   3218294983   3218294979     0.045268     0.000000     0.120715    15.089359     True   passagem
  38   3218294983   1227355178     1.884297   418.062754     5.024793   628.099090     True     BR-356
