  id            u            v           CA      demanda           CS       length   oneway     status
   0            1            2     0.178228    39.542851     0.475275    59.409331     True    servico
   1            1            3     0.259327    57.535957     0.691538    86.442243    False    servico
   2            4            5     0.254615    56.490598     0.678974    84.871692     True    servico
   3            6            7     0.124748    27.677369     0.332661    41.582586     True    servico
   4            6            8     0.457783   101.566877     1.220756   152.594466     True    servico
   5            9           10     0.476605   105.742673     1.270946   158.868198    False    servico
   6            9           11     0.166018    36.833944     0.442716    55.339459     True    servico
   7           12           13     0.232609    51.608221     0.620291    77.536389     True    servico
   8           10            9     0.476605   105.742673     1.270946   158.868198    False    servico
   9           10           14     0.164195    36.429335     0.437853    54.731573     True    servico
  10           15           16     0.132855    29.476173     0.354281    44.285115     True    servico
  11           17           18     0.532493     0.000000     1.419981   177.497576     True   passagem
  12           19           15     0.487052   108.060621     1.298806   162.350692     True    servico
  13           19           20     0.218789    48.541880     0.583436    72.929508     True    servico
  14           21           22     0.582289   129.190418     1.552769   194.096182     True    servico
  15           21           23     0.600142   133.151508     1.600379   200.047338     True    servico
  16           24           25     0.183924    40.806608     0.490464    61.308005     True    servico
  17           24           26     0.360168    79.909338     0.960449   120.056097     True    servico
  18           27           28     0.210390    46.678600     0.561041    70.130109     True    servico
  19           27           29     0.334656    74.249119     0.892417   111.552163     True    servico
  20           30           31     0.247287    54.864668     0.659431    82.428888     True    servico
  21           30           32     0.484263   107.441837     1.291368   161.421030     True    servico
  22           33           34     0.258702    57.397411     0.689873    86.234092    False    servico
  23           33           35     0.268306    59.528185     0.715483    89.435375     True    servico
  24           34           33     0.258702    57.397411     0.689873    86.234092    False    servico
  25           34           11     0.223002    49.476683     0.594672    74.333958     True    servico
  26           36           37     0.218347    48.444021     0.582260    72.782483     True    servico
  27           36           38     0.174460    38.706823     0.465226    58.153280     True    servico
  28           36           39     0.085741     0.000000     0.228642    28.580296    False   passagem
  29           40           41     0.377284    83.706688     1.006090   125.761250     True    servico
  30           40           42     0.269901    59.881928     0.719735    89.966838     True    servico
  31           43           44     0.111478     0.000000     0.297274    37.159310     True   passagem
  32           43           45     0.032601     7.233142     0.086937    10.867101     True    servico
  33           46           43     0.044071     0.000000     0.117524    14.690472     True   passagem
  34           46           47     0.425449    94.392981     1.134531   141.816377     True     BR-356
  35           48           46     0.108288     0.000000     0.288769    36.096069     True   passagem
  36           48           49     0.813410   180.468657     2.169094   271.136805     True    servico
  37           44           48     0.045268     0.000000     0.120715    15.089359     True   passagem
  38           44           50     1.884297   418.062754     5.024793   628.099090     True     BR-356
  39           51            1     0.133318    29.578876     0.355515    44.439417     True    servico
  40           51           52     0.246244    54.633443     0.656652    82.081495     True    servico
  41           53           54     0.199638    44.293117     0.532369    66.546149    False    servico
  42           53           55     0.804613   178.516798     2.145635   268.204324    False    servico
  43           52           56     0.190243    42.208660     0.507316    63.414453     True    servico
  44           52           57     0.467201   103.656330     1.245869   155.733670     True    servico
  45           58           59     0.368849    81.835250     0.983597   122.949595    False    servico
  46           58           31     0.308967    68.549461     0.823912   102.988974     True    servico
  47           59           58     0.368849    81.835250     0.983597   122.949595    False    servico
  48           59           60     0.298618    66.253413     0.796315    99.539382     True    servico
  49           61           62     0.476956   105.820581     1.271882   158.985248    False    servico
  50           61           63     0.340049    75.445475     0.906797   113.349571     True    servico
  51           64           65     0.233927    51.900696     0.623806    77.975805    False    servico
  52           64           66     0.337906    74.969989     0.901082   112.635199     True    servico
  53           65           64     0.233927    51.900696     0.623806    77.975805    False    servico
  54           62           61     0.476956   105.820581     1.271882   158.985248    False    servico
  55           62           67     0.408320    90.592589     1.088853   136.106655    False    servico
  56           62           68     0.370810    82.270313     0.988826   123.603235    False    servico
  57           69           70     0.159164    35.313111     0.424436    53.054554     True     BR-356
  58           69           71     0.480177   106.535195     1.280471   160.058886    False    servico
  59           72           70     0.480282   106.558504     1.280751   160.093906     True    servico
  60           72           71     0.192939    42.806681     0.514503    64.312922     True    servico
  61           45           73     0.184456    40.924722     0.491884    61.485460     True    servico
  62           45           74     0.254496     0.000000     0.678655    84.831927     True   passagem
  63           75           76     0.104301    23.140904     0.278136    34.766983     True    servico
  64           75           77     0.098552     0.000000     0.262804    32.850540     True   passagem
  65           78           79     0.277029    61.463597     0.738745    92.343144     True    servico
  66           78           80     0.386942    85.849608     1.031846   128.980782    False    servico
  67           18           40     0.027016     0.000000     0.072043     9.005365     True   passagem
  68           18           81     0.713675     0.000000     1.903134   237.891751     True   passagem
  69           82           83     0.279938    62.108960     0.746502    93.312741    False    servico
  70           82           84     0.160534    35.617092     0.428090    53.511255     True    servico
  71           74           44     0.428554    95.081904     1.142811   142.851418     True    servico
  72           85           25     0.348871    77.402788     0.930322   116.290247    False    servico
  73           85           26     0.119886    26.598601     0.319695    39.961841     True    servico
  74           86           87     0.050440    11.190881     0.134506    16.813223     True    servico
  75           88           85     0.164838    36.572091     0.439568    54.946050     True    servico
  76           88           89     0.250218    55.514929     0.667247    83.405842     True    servico
  77           90           91     0.128726    28.560041     0.343270    42.908715    False    servico
  78           90           92     0.159903    35.477078     0.426407    53.300898     True    servico
  79           93           94     0.941888     0.000000     2.511700   313.962505     True   passagem
  80           93           95     0.034884     0.000000     0.093023    11.627892     True   passagem
  81           96           91     0.228656    50.731145     0.609749    76.218668    False    servico
  82           96           97     0.024487     5.432786     0.065298     8.162239     True    servico
  83           70           98     0.042825     0.000000     0.114201    14.275082     True   passagem
  84           70           99     0.262908    58.330554     0.701088    87.636049     True     BR-356
  85            5          100     0.032868     7.292243     0.087647    10.955894    False    servico
  86            5          101     0.081282    18.033687     0.216751    27.093880     True    servico
  87          102           86     0.214118    47.505632     0.570981    71.372644     True    servico
  88           89          102     0.099049    21.975703     0.264131    33.016381     True    servico
  89           56           87     0.204949    45.471253     0.546529    68.316186     True    servico
  90           56          103     0.147506    32.726668     0.393349    49.168672    False    servico
  91          104          105     0.019879     4.410576     0.053012     6.626466     True    servico
  92           98           43     0.728658   161.664890     1.943088   242.885953     True     BR-356
  93           98          106     0.197266    43.766690     0.526042    65.755244     True    servico
  94           25           85     0.348871    77.402788     0.930322   116.290247    False    servico
  95           25          102     0.145120    32.197272     0.386986    48.373306     True    servico
  96          107          108     0.139808    31.018667     0.372821    46.602565    False    servico
  97          107          109     0.026896     5.967266     0.071722     8.965243     True    servico
  98          110           83     0.049975    11.087828     0.133267    16.658396     True    servico
  99          110           92     0.220317    48.881029     0.587512    73.439046     True    servico
 100          111          112     0.322750    71.607356     0.860665   107.583167     True    servico
 101          111          113     0.130323    28.914388     0.347529    43.441087    False    servico
 102           83           82     0.279938    62.108960     0.746502    93.312741    False    servico
 103           83          114     0.195974    43.480018     0.522596    65.324546     True    servico
 104          115          116     0.258831    57.426065     0.690217    86.277141     True    servico
 105          108          107     0.139808    31.018667     0.372821    46.602565    False    servico
 106          108          117     0.190142    42.186234     0.507046    63.380760    False    servico
 107          108          103     0.168702    37.429404     0.449873    56.234080    False    servico
 108           91           88     0.173816    38.563894     0.463508    57.938543     True    servico
 109           91           90     0.128726    28.560041     0.343270    42.908715    False    servico
 110           91           96     0.228656    50.731145     0.609749    76.218668    False    servico
 111          118          104     0.112662    24.996032     0.300433    37.554134     True    servico
 112          118          119     0.186706    41.423863     0.497883    62.235371     True    servico
 113          120           36     0.214143    47.511297     0.571049    71.381155     True    servico
 114          113            4     0.054478    12.086955     0.145276    18.159488     True    servico
 115          113          111     0.130323    28.914388     0.347529    43.441087    False    servico
 116          113          121     0.265636    58.935874     0.708364    88.545484    False    servico
 117          122          117     0.019757     4.383333     0.052684     6.585536     True    servico
 118          122          123     0.123517     0.000000     0.329378    41.172217     True   passagem
 119           92           88     0.121591    26.976903     0.324242    40.530203     True    servico
 120           97           89     0.192006    42.599760     0.512016    64.002044     True    servico
