Name:          PqSãoMatheus_PqGuarus
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        281         
#Edges:        329         
#Arcs:         119         
#Required N:   0           
#Required E:   295         
#Required A:   91          

ReN.     DEMAND   S.COST  

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       4        5        0.07     228.63   0.19    
E2       4        6        0.49     10.13    1.31    
E3       9        11       0.18     63.12    0.47    
E4       14       15       0.02     311.23   0.04    
E5       14       16       0.79     37.48    2.10    
E6       22       23       0.71     15.76    1.88    
E7       22       24       0.35     156.44   0.93    
E8       22       25       0.33     77.55    0.89    
E9       22       26       0.61     74.24    1.63    
E10      27       28       0.23     135.74   0.62    
E11      27       29       0.04     51.24    0.11    
E12      28       31       0.23     51.24    0.61    
E13      28       32       0.11     50.73    0.30    
E14      31       33       0.24     50.73    0.64    
E15      31       34       0.05     52.89    0.14    
E16      35       36       0.50     11.68    1.34    
E17      35       37       0.23     111.63   0.62    
E18      35       38       0.22     51.29    0.58    
E19      35       39       0.14     48.48    0.36    
E20      33       40       0.11     52.89    0.30    
E21      33       41       0.22     25.30    0.60    
E22      36       42       0.23     111.63   0.62    
E23      36       43       0.29     51.95    0.78    
E24      44       45       0.22     41.19    0.58    
E25      44       46       0.14     48.08    0.36    
E26      42       44       0.19     51.95    0.50    
E27      42       47       0.69     41.19    1.83    
E28      48       49       0.08     152.25   0.21    
E29      48       50       0.08     17.83    0.22    
E30      48       51       0.13     18.68    0.35    
E31      47       52       0.21     29.38    0.56    
E32      47       53       0.13     48.80    0.36    
E33      54       55       0.18     152.25   0.48    
E34      54       56       0.14     39.98    0.39    
E35      54       57       0.29     32.13    0.78    
E36      55       58       0.13     29.59    0.34    
E37      55       59       0.21     28.62    0.57    
E38      52       60       0.15     46.85    0.41    
E39      52       61       0.22     34.22    0.59    
E40      52       62       0.13     49.22    0.35    
E41      59       61       0.40     34.22    1.06    
E42      59       63       0.22     88.56    0.60    
E43      57       64       0.16     47.68    0.43    
E44      57       65       0.39     64.61    1.04    
E45      66       67       0.35     86.87    0.93    
E46      66       68       0.10     77.30    0.26    
E47      66       69       0.14     21.58    0.37    
E48      67       70       0.10     77.30    0.27    
E49      67       71       0.80     22.38    2.14    
E50      32       34       0.22     25.10    0.59    
E51      32       72       0.12     48.76    0.33    
E52      73       74       0.34     40.75    0.91    
E53      73       75       0.86     75.34    2.28    
E54      73       76       0.87     189.77   2.31    
E55      34       78       0.13     48.76    0.35    
E56      79       80       0.90     28.75    2.40    
E57      79       81       0.33     199.79   0.88    
E58      79       82       0.48     73.42    1.28    
E59      61       83       0.19     88.56    0.51    
E60      61       84       0.22     42.44    0.59    
E61      63       84       0.40     49.87    1.07    
E62      63       65       0.23     88.88    0.60    
E63      84       85       0.18     88.88    0.49    
E64      84       86       0.22     40.60    0.59    
E65      65       86       0.40     40.60    1.07    
E66      65       87       0.22     89.03    0.58    
E67      86       88       0.21     89.03    0.57    
E68      88       89       0.20     47.57    0.52    
E69      88       90       0.19     43.59    0.51    
E70      87       91       0.26     48.26    0.70    
E71      87       92       0.41     57.86    1.10    
E72      90       93       0.07     42.42    0.18    
E73      90       94       1.98     14.67    5.29    
E74      93       95       0.15     14.67    0.40    
E75      76       96       0.15     34.02    0.41    
E76      76       97       0.31     34.32    0.83    
E77      100      101      0.32     9.19     0.85    
E78      100      102      0.25     71.01    0.67    
E79      100      103      0.41     55.78    1.08    
E80      104      105      0.23     89.93    0.60    
E81      104      106      0.17     50.07    0.46    
E82      104      107      0.39     38.19    1.05    
E83      105      108      0.22     50.07    0.59    
E84      105      109      0.03     49.19    0.07    
E85      101      110      0.26     71.01    0.69    
E86      101      103      0.45     57.59    1.21    
E87      107      115      0.06     49.19    0.16    
E88      107      116      0.46     13.38    1.23    
E89      117      118      0.47     87.53    1.26    
E90      122      123      0.16     7.70     0.43    
E91      122      124      0.32     35.93    0.86    
E92      122      125      0.13     71.90    0.35    
E93      64       73       0.18     36.01    0.49    
E94      64       126      0.62     40.75    1.64    
E95      127      128      0.12     136.64   0.32    
E96      127      129      0.26     26.39    0.69    
E97      127      130      0.28     57.25    0.75    
E98      37       133      0.13     51.29    0.36    
E99      37       134      0.21     29.86    0.57    
E100     37       135      0.13     47.46    0.34    
E101     38       140      0.14     48.48    0.36    
E102     38       43       0.38     30.17    1.01    
E103     91       96       0.11     57.86    0.28    
E104     91       95       0.47     23.70    1.26    
E105     103      146      0.17     27.51    0.45    
E106     109      147      0.30     5.75     0.80    
E107     109      148      0.19     66.66    0.50    
E108     106      149      0.12     38.19    0.32    
E109     106      150      0.02     26.62    0.05    
E110     92       93       0.15     91.75    0.41    
E111     92       95       0.07     34.02    0.17    
E112     94       155      0.47     104.97   1.26    
E113     94       96       0.35     104.97   0.92    
