  id            u            v           CA      demanda           CS       length   oneway     status
   0   5116456985   5116456992     0.054299     0.000000     0.144797    18.099584    False   passagem
   1   5116456985   5116456988     1.030481     0.000000     2.747949   343.493664    False   passagem
   2   5116456986   2477827532     0.072344   228.629382     0.192918    24.114721    False    servico
   3   5116456986   5116456988     0.045639     0.000000     0.121703    15.212856     True   passagem
   4   5116456986   2477827518     0.491171    10.125677     1.309789   163.723645    False    servico
   5   5116456988    267884952     0.055512     0.000000     0.148033    18.504131    False   passagem
   6   5116456988   5116456990     0.059896     0.000000     0.159722    19.965273     True   passagem
   7   5116456988   5116456985     1.030481     0.000000     2.747949   343.493664    False   passagem
   8   5116456990   5116456985     1.001610     0.000000     2.670959   333.869863     True   passagem
   9   5116456992   5116456985     0.054299     0.000000     0.144797    18.099584    False   passagem
  10   5116456992   5116456995     0.310134     0.000000     0.827023   103.377888     True   passagem
  11   5116456992   5116457002     1.402762     0.000000     3.740698   467.587291    False   passagem
  12   5116456995   2477827518     0.284517   311.226101     0.758711    94.838834    False    servico
  13   5116456995   2477827498     0.177324    63.124728     0.472864    59.108057    False    servico
  14   5116457002   5116457006     0.285155     0.000000     0.760414    95.051698    False   passagem
  15   5116457002   2809708868     0.478365     0.000000     1.275641   159.455159     True   passagem
  16   5116457002   5116456992     1.402762     0.000000     3.740698   467.587291    False   passagem
  17   5116457003   2477827324     0.015130   311.226101     0.040346     5.043207    False    servico
  18   5116457003   5116457006     0.168925     0.000000     0.450468    56.308450     True   passagem
  19   5116457003   2477827400     0.787322    37.478905     2.099526   262.440801    False    servico
  20   5116457006   5116457002     0.285155     0.000000     0.760414    95.051698    False   passagem
  21   5116457006   2477827329     0.176140     0.000000     0.469706    58.713289    False   passagem
  22   4016382081   2477827181     0.094197     0.000000     0.251193    31.399096    False   passagem
  23   4016382081   2477827196     0.553060    20.899238     1.474825   184.353170     True    servico
  24   3317160159   5116456990     0.104851     0.000000     0.279601    34.950167     True   passagem
  25   3317160159    267884952     0.071051     0.000000     0.189470    23.683709     True   passagem
  26   2477805825   2477827211     0.705113    15.763876     1.880301   235.037660    False    servico
  27   2477805825   2477827300     0.349537   156.441067     0.932098   116.512272    False    servico
  28   2477805825   2477832018     0.334634    77.550568     0.892357   111.544608    False    servico
  29   2477805825   2477827408     0.611790    74.244091     1.631439   203.929925    False    servico
  30   2477805826   2477805827     0.230937   135.735758     0.615832    76.978997    False    servico
  31   2477805826   2477827380     0.042198    51.237220     0.112529    14.066151    False    servico
  32   2477805826   2477827418     0.491109     9.362430     1.309625   163.703098     True    servico
  33   2477805827   2477805826     0.230937   108.960782     0.615832    76.978997    False    servico
  34   2477805827   2477805829     0.228673    51.237220     0.609795    76.224403    False    servico
  35   2477805827   2661660993     0.113114    50.734962     0.301636    37.704548    False    servico
  36   2477805829   2477805827     0.228673    25.096147     0.609795    76.224403    False    servico
  37   2477805829   2477805833     0.238394    50.734962     0.635716    79.464529    False    servico
  38   2477805829   2661660994     0.052654    52.891591     0.140410    17.551248    False    servico
  39   2477805832   2477805836     0.503123    11.682111     1.341661   167.707653    False    servico
  40   2477805832   1269539295     0.231192   111.626214     0.616511    77.063833    False    servico
  41   2477805832   1269539343     0.218499    51.293687     0.582663    72.832927    False    servico
  42   2477805832   2477827439     0.136563    48.477596     0.364167    45.520921    False    servico
  43   2477805833   2477805829     0.238394    30.298725     0.635716    79.464529    False    servico
  44   2477805833   2654864289     0.114048    52.891591     0.304127    38.015921    False    servico
  45   2477805833   2477827480     0.224206    25.303397     0.597882    74.735232    False    servico
  46   2477805836   2477805832     0.503123    49.743770     1.341661   167.707653    False    servico
  47   2477805836   2477805840     0.234133   111.626214     0.624355    78.044432    False    servico
  48   2477805836   2477827423     0.292724    51.946374     0.780598    97.574692    False    servico
  49   2477805838   2477805840     0.185654    64.945715     0.495077    61.884650    False    servico
  50   2477805838   2477827507     0.216717    41.190423     0.577912    72.238940    False    servico
  51   2477805838   2654715443     0.135497    48.082238     0.361324    45.165526    False    servico
  52   2477805840   2477805836     0.234133    30.062174     0.624355    78.044432    False    servico
  53   2477805840   2477805838     0.185654    51.946374     0.495077    61.884650    False    servico
  54   2477805840   2477805857     0.686226    41.190423     1.829936   228.742015    False    servico
  55   2477805853   2654864293     0.080343   152.250685     0.214247    26.780880    False    servico
  56   2477805853   2654864296     0.084206    17.825354     0.224550    28.068797    False    servico
  57   2477805853   2654715450     0.132424    18.682591     0.353130    44.141301    False    servico
  58   2477805857   2477805871     0.211160    29.380450     0.563092    70.386540    False    servico
  59   2477805857   2477827507     0.219931    46.849281     0.586483    73.310318    False    servico
  60   2477805857   2654715452     0.134595    48.795348     0.358920    44.865003    False    servico
  61   2477805857   2477805840     0.686226    29.862146     1.829936   228.742015    False    servico
  62   2477805862   2477805868     0.180185   152.250685     0.480493    60.061650    False    servico
  63   2477805862   2654864294     0.144817    39.977034     0.386179    48.272403    False    servico
  64   2477805862   2477805883     0.291209    32.130112     0.776558    97.069752    False    servico
  65   2477805868   2477805862     0.180185    64.609627     0.480493    60.061650    False    servico
  66   2477805868   2654864296     0.133372    39.977034     0.355660    44.457463    False    servico
  67   2477805868   2654715454     0.129017    29.590887     0.344044    43.005541    False    servico
  68   2477805868   2477805882     0.214911    28.624488     0.573096    71.636961    False    servico
  69   2477805871   2477805857     0.211160    47.681561     0.563092    70.386540    False    servico
  70   2477805871   2477805877     0.154233    46.849281     0.411289    51.411108    False    servico
  71   2477805871   2477805889     0.221854    34.219234     0.591612    73.951472    False    servico
  72   2477805871   2654715455     0.132017    49.222100     0.352045    44.005619    False    servico
  73   2477805877   2477805871     0.154233    29.290140     0.411289    51.411108    False    servico
  74   2477805882   2477805889     0.399176    34.219234     1.064468   133.058502    False    servico
  75   2477805882   2477805902     0.224795    88.563739     0.599453    74.931665    False    servico
  76   2477805882   2477805868     0.214911    49.874516     0.573096    71.636961    False    servico
  77   2477805883   5116504533     0.162289    47.681561     0.432770    54.096205    False    servico
  78   2477805883   2477805862     0.291209    36.006434     0.776558    97.069752    False    servico
  79   2477805883   2477805911     0.391530    64.609627     1.044079   130.509933    False    servico
  80   2661660991   2661660992     0.348388    86.867412     0.929034   116.129202    False    servico
  81   2661660991   2477832012     0.097256    77.295597     0.259350    32.418747    False    servico
  82   2661660991   2477832017     0.140148    21.577918     0.373728    46.716047    False    servico
  83   2661660992   2661660991     0.348388    31.094201     0.929034   116.129202    False    servico
  84   2661660992   2477827231     0.100855    77.295597     0.268947    33.618405    False    servico
  85   2661660992   2477827394     0.804015    22.376410     2.144041   268.005079    False    servico
  86   2661660993   2477805827     0.113114   178.384180     0.301636    37.704548    False    servico
  87   2661660993   2661660994     0.219775    25.096147     0.586065    73.258174    False    servico
  88   2661660993   2654864287     0.123270    48.760640     0.328719    41.089937    False    servico
  89   2477805887   5116504533     0.183675    27.349462     0.489800    61.224963    False    servico
  90   2477805887   2477827526     0.339574    40.751336     0.905531   113.191345    False    servico
  91   2477805887   2477827468     0.855329    75.340159     2.280876   285.109509    False    servico
  92   2477805887   2477805956     0.865303   189.768889     2.307475   288.434368    False    servico
  93   2809708868       -39030     0.171289     0.000000     0.456771    57.096382     True   passagem
  94   2661660994   2477805829     0.052654    38.003352     0.140410    17.551248    False    servico
  95   2661660994   2661660993     0.219775    11.682111     0.586065    73.258174    False    servico
  96   2661660994   2654864288     0.129595    48.760640     0.345588    43.198438    False    servico
  97   2477805894   2477827473     0.900485    28.752881     2.401294   300.161726    False    servico
  98   2477805894   2477827529     0.330915   199.787645     0.882440   110.305045    False    servico
  99   2477805894   2477827533     0.479190    73.419038     1.277839   159.729873    False    servico
 100   2477805889   2477805871     0.221854   106.316204     0.591612    73.951472    False    servico
 101   2477805889   2477805882     0.399176    49.222100     1.064468   133.058502    False    servico
 102   2477805889   2477805896     0.191282    88.563739     0.510085    63.760576    False    servico
 103   2477805889   2477805906     0.221391    42.439039     0.590377    73.797141    False    servico
 104   2477805896   2477805889     0.191282    49.119377     0.510085    63.760576    False    servico
