  id            u            v           CA      demanda           CS       length   oneway     status
   0            1            2     0.054299     0.000000     0.144797    18.099584    False   passagem
   1            1            3     1.030481     0.000000     2.747949   343.493664    False   passagem
   2            4            5     0.072344   228.629382     0.192918    24.114721    False    servico
   3            4            3     0.045639     0.000000     0.121703    15.212856     True   passagem
   4            4            6     0.491171    10.125677     1.309789   163.723645    False    servico
   5            3            7     0.055512     0.000000     0.148033    18.504131    False   passagem
   6            3            8     0.059896     0.000000     0.159722    19.965273     True   passagem
   7            3            1     1.030481     0.000000     2.747949   343.493664    False   passagem
   8            8            1     1.001610     0.000000     2.670959   333.869863     True   passagem
   9            2            1     0.054299     0.000000     0.144797    18.099584    False   passagem
  10            2            9     0.310134     0.000000     0.827023   103.377888     True   passagem
  11            2           10     1.402762     0.000000     3.740698   467.587291    False   passagem
  12            9            6     0.284517   311.226101     0.758711    94.838834    False    servico
  13            9           11     0.177324    63.124728     0.472864    59.108057    False    servico
  14           10           12     0.285155     0.000000     0.760414    95.051698    False   passagem
  15           10           13     0.478365     0.000000     1.275641   159.455159     True   passagem
  16           10            2     1.402762     0.000000     3.740698   467.587291    False   passagem
  17           14           15     0.015130   311.226101     0.040346     5.043207    False    servico
  18           14           12     0.168925     0.000000     0.450468    56.308450     True   passagem
  19           14           16     0.787322    37.478905     2.099526   262.440801    False    servico
  20           12           10     0.285155     0.000000     0.760414    95.051698    False   passagem
  21           12           17     0.176140     0.000000     0.469706    58.713289    False   passagem
  22           18           19     0.094197     0.000000     0.251193    31.399096    False   passagem
  23           18           20     0.553060    20.899238     1.474825   184.353170     True    servico
  24           21            8     0.104851     0.000000     0.279601    34.950167     True   passagem
  25           21            7     0.071051     0.000000     0.189470    23.683709     True   passagem
  26           22           23     0.705113    15.763876     1.880301   235.037660    False    servico
  27           22           24     0.349537   156.441067     0.932098   116.512272    False    servico
  28           22           25     0.334634    77.550568     0.892357   111.544608    False    servico
  29           22           26     0.611790    74.244091     1.631439   203.929925    False    servico
  30           27           28     0.230937   135.735758     0.615832    76.978997    False    servico
  31           27           29     0.042198    51.237220     0.112529    14.066151    False    servico
  32           27           30     0.491109     9.362430     1.309625   163.703098     True    servico
  33           28           27     0.230937   108.960782     0.615832    76.978997    False    servico
  34           28           31     0.228673    51.237220     0.609795    76.224403    False    servico
  35           28           32     0.113114    50.734962     0.301636    37.704548    False    servico
  36           31           28     0.228673    25.096147     0.609795    76.224403    False    servico
  37           31           33     0.238394    50.734962     0.635716    79.464529    False    servico
  38           31           34     0.052654    52.891591     0.140410    17.551248    False    servico
  39           35           36     0.503123    11.682111     1.341661   167.707653    False    servico
  40           35           37     0.231192   111.626214     0.616511    77.063833    False    servico
  41           35           38     0.218499    51.293687     0.582663    72.832927    False    servico
  42           35           39     0.136563    48.477596     0.364167    45.520921    False    servico
  43           33           31     0.238394    30.298725     0.635716    79.464529    False    servico
  44           33           40     0.114048    52.891591     0.304127    38.015921    False    servico
  45           33           41     0.224206    25.303397     0.597882    74.735232    False    servico
  46           36           35     0.503123    49.743770     1.341661   167.707653    False    servico
