  id            u            v       length      demanda           CS           CA   oneway     status
   0   5116456985   5116456992    18.099584     0.000000     0.144797     0.054299    False   passagem
   1   5116456985   5116456988   343.493664     0.000000     2.747949     1.030481    False   passagem
   2   5116456986   2477827532    24.114721    16.050758     0.192918     0.072344    False  undefined
   3   5116456986   5116456988    15.212856     0.000000     0.121703     0.045639     True   passagem
   4   5116456986   2477827518   163.723645   108.974458     1.309789     0.491171    False  undefined
   5   5116456988    267884952    18.504131     0.000000     0.148033     0.055512    False   passagem
   6   5116456988   5116456990    19.965273     0.000000     0.159722     0.059896     True   passagem
   7   5116456988   5116456985   343.493664     0.000000     2.747949     1.030481    False   passagem
   8   5116456990   5116456985   333.869863     0.000000     2.670959     1.001610     True   passagem
   9   5116456992   5116456985    18.099584     0.000000     0.144797     0.054299    False   passagem
  10   5116456992   5116456995   103.377888     0.000000     0.827023     0.310134     True   passagem
  11   5116456992   5116457002   467.587291     0.000000     3.740698     1.402762    False   passagem
  12   5116456995   2477827518    94.838834    63.124728     0.758711     0.284517    False  undefined
  13   5116456995   2477827498    59.108057    39.342322     0.472864     0.177324    False  undefined
  14   5116457002   5116457006    95.051698     0.000000     0.760414     0.285155    False   passagem
  15   5116457002   2809708868   159.455159     0.000000     1.275641     0.478365     True   passagem
  16   5116457002   5116456992   467.587291     0.000000     3.740698     1.402762    False   passagem
  17   5116457003   2477827324     5.043207     3.356759     0.040346     0.015130    False  undefined
  18   5116457003   5116457006    56.308450     0.000000     0.450468     0.168925     True   passagem
  19   5116457003   2477827400   262.440801   174.680597     2.099526     0.787322    False  undefined
  20   5116457006   5116457002    95.051698     0.000000     0.760414     0.285155    False   passagem
  21   5116457006   2477827329    58.713289     0.000000     0.469706     0.176140    False   passagem
  22   4016382081   2477827181    25.664192    17.082086     0.205314     0.076993     True  undefined
  23   4016382081   2477827196   184.353170   122.705470     1.474825     0.553060     True  undefined
  24   3317160159   5116456990    34.950167     0.000000     0.279601     0.104851     True   passagem
  25   3317160159    267884952    23.683709     0.000000     0.189470     0.071051     True   passagem
  26   2477805825   2477827211   235.037660   156.441067     1.880301     0.705113    False  undefined
  27   2477805825   2477827300   116.512272    77.550568     0.932098     0.349537    False  undefined
  28   2477805825   2477832018   111.544608    74.244091     0.892357     0.334634    False  undefined
  29   2477805825   2477827408   203.929925   135.735758     1.631439     0.611790    False  undefined
  30   2477805826   2477805827    76.978997    51.237220     0.615832     0.230937    False  undefined
  31   2477805826   2477827380    14.066151     9.362430     0.112529     0.042198    False  undefined
  32   2477805826   2477827418   163.703098   108.960782     1.309625     0.491109     True  undefined
  33   2477805827   2477805826    76.978997    51.237220     0.615832     0.230937    False  undefined
  34   2477805827   2477805829    76.224403    50.734962     0.609795     0.228673    False  undefined
  35   2477805827   2661660993    37.704548    25.096147     0.301636     0.113114    False  undefined
  36   2477805829   2477805827    76.224403    50.734962     0.609795     0.228673    False  undefined
  37   2477805829   2477805833    79.464529    52.891591     0.635716     0.238394    False  undefined
  38   2477805829   2661660994    17.551248    11.682111     0.140410     0.052654    False  undefined
  39   2477805832   2477805836   167.707653   111.626214     1.341661     0.503123    False  undefined
  40   2477805832   1269539295    77.063833    51.293687     0.616511     0.231192    False  undefined
  41   2477805832   1269539343    72.832927    48.477596     0.582663     0.218499    False  undefined
  42   2477805832   2477827439    45.520921    30.298725     0.364167     0.136563    False  undefined
  43   2477805833   2477805829    79.464529    52.891591     0.635716     0.238394    False  undefined
  44   2477805833   2654864289    38.015921    25.303397     0.304127     0.114048    False  undefined
  45   2477805833   2477827480    74.735232    49.743770     0.597882     0.224206    False  undefined
  46   2477805836   2477805832   167.707653   111.626214     1.341661     0.503123    False  undefined
  47   2477805836   2477805840    78.044432    51.946374     0.624355     0.234133    False  undefined
  48   2477805836   2477827423    97.574692    64.945715     0.780598     0.292724    False  undefined
  49   2477805838   2477805840    61.884650    41.190423     0.495077     0.185654    False  undefined
  50   2477805838   2477827507    72.238940    48.082238     0.577912     0.216717    False  undefined
  51   2477805838   2654715443    45.165526    30.062174     0.361324     0.135497    False  undefined
  52   2477805840   2477805836    78.044432    51.946374     0.624355     0.234133    False  undefined
  53   2477805840   2477805838    61.884650    41.190423     0.495077     0.185654    False  undefined
  54   2477805840   2477805857   228.742015   152.250685     1.829936     0.686226    False  undefined
  55   2477805853   2654864293    26.780880    17.825354     0.214247     0.080343    False  undefined
  56   2477805853   2654864296    28.068797    18.682591     0.224550     0.084206    False  undefined
  57   2477805853   2654715450    44.141301    29.380450     0.353130     0.132424    False  undefined
  58   2477805857   2477805871    70.386540    46.849281     0.563092     0.211160    False  undefined
  59   2477805857   2477827507    73.310318    48.795348     0.586483     0.219931    False  undefined
  60   2477805857   2654715452    44.865003    29.862146     0.358920     0.134595    False  undefined
  61   2477805857   2477805840   228.742015   152.250685     1.829936     0.686226    False  undefined
  62   2477805862   2477805868    60.061650    39.977034     0.480493     0.180185    False  undefined
  63   2477805862   2654864294    48.272403    32.130112     0.386179     0.144817    False  undefined
  64   2477805862   2477805883    97.069752    64.609627     0.776558     0.291209    False  undefined
