  id   u     v       length       demanda         CS           CA       oneway  status
   0   253   257    18.099584     0.000000     0.144797     0.054299    False   passagem
   1   253   255   343.493664     0.000000     2.747949     1.030481    False   passagem
   2   254   168    24.114721    16.050758     0.192918     0.072344    False  undefined
   3   254   255    15.212856     0.000000     0.121703     0.045639     True   passagem
   4   254   165   163.723645   108.974458     1.309789     0.491171    False  undefined
   5   255    8    18.504131     0.000000     0.148033     0.055512    False   passagem
   6   255   256    19.965273     0.000000     0.159722     0.059896     True   passagem
   7   255   253   343.493664     0.000000     2.747949     1.030481    False   passagem
   8   256   253   333.869863     0.000000     2.670959     1.001610     True   passagem
   9   257   253    18.099584     0.000000     0.144797     0.054299    False   passagem
  10   257   258   103.377888     0.000000     0.827023     0.310134     True   passagem
  11   257   259   467.587291     0.000000     3.740698     1.402762    False   passagem
  12   258   165    94.838834    63.124728     0.758711     0.284517    False  undefined
  13   258   161    59.108057    39.342322     0.472864     0.177324    False  undefined
  14   259   261    95.051698     0.000000     0.760414     0.285155    False   passagem
  15   259   245   159.455159     0.000000     1.275641     0.478365     True   passagem
  16   259   257   467.587291     0.000000     3.740698     1.402762    False   passagem
  17   260   107     5.043207     3.356759     0.040346     0.015130    False  undefined
  18   260   261    56.308450     0.000000     0.450468     0.168925     True   passagem
  19   260   134   262.440801   174.680597     2.099526     0.787322    False  undefined
  20   261   259    95.051698     0.000000     0.760414     0.285155    False   passagem
  21   261   109    58.713289     0.000000     0.469706     0.176140    False   passagem
  22   250   64    31.399096     0.000000     0.251193     0.094197    False   passagem
  23   250   70   184.353170   122.705470     1.474825     0.553060     True  undefined
  24   249   256    34.950167     0.000000     0.279601     0.104851     True   passagem
  25   249    8    23.683709     0.000000     0.189470     0.071051     True   passagem
  26   16   78   235.037660   156.441067     1.880301     0.705113    False  undefined
  27   16   104   116.512272    77.550568     0.932098     0.349537    False  undefined
  28   16   209   111.544608    74.244091     0.892357     0.334634    False  undefined
  29   16   138   203.929925   135.735758     1.631439     0.611790    False  undefined
  30   17   18    76.978997    51.237220     0.615832     0.230937    False  undefined
  31   17   124    14.066151     9.362430     0.112529     0.042198    False  undefined
  32   17   139   163.703098   108.960782     1.309625     0.491109     True  undefined
  33   18   17    76.978997    51.237220     0.615832     0.230937    False  undefined
