  id            u            v       length      demanda           CS           CA   oneway     status
   0   250   254    18.099584     0.000000     0.144797     0.054299    False   passagem
   1   250   252   343.493664     0.000000     2.747949     1.030481    False   passagem
   2   251   165    24.114721    16.050758     0.192918     0.072344    False  undefined
   3   251   252    15.212856     0.000000     0.121703     0.045639     True   passagem
   4   251   162   163.723645   108.974458     1.309789     0.491171    False  undefined
   5   252    6    18.504131     0.000000     0.148033     0.055512    False   passagem
   6   252   253    19.965273     0.000000     0.159722     0.059896     True   passagem
   7   252   250   343.493664     0.000000     2.747949     1.030481    False   passagem
   8   253   250   333.869863     0.000000     2.670959     1.001610     True   passagem
   9   254   250    18.099584     0.000000     0.144797     0.054299    False   passagem
  10   254   255   103.377888     0.000000     0.827023     0.310134     True   passagem
  11   254   256   467.587291     0.000000     3.740698     1.402762    False   passagem
  12   255   162    94.838834    63.124728     0.758711     0.284517    False  undefined
  13   255   158    59.108057    39.342322     0.472864     0.177324    False  undefined
  14   256   258    95.051698     0.000000     0.760414     0.285155    False   passagem
  15   256   242   159.455159     0.000000     1.275641     0.478365     True   passagem
  16   256   254   467.587291     0.000000     3.740698     1.402762    False   passagem
  17   257   104     5.043207     3.356759     0.040346     0.015130    False  undefined
  18   257   258    56.308450     0.000000     0.450468     0.168925     True   passagem
  19   257   131   262.440801   174.680597     2.099526     0.787322    False  undefined
  20   258   256    95.051698     0.000000     0.760414     0.285155    False   passagem
  21   258   106    58.713289     0.000000     0.469706     0.176140    False   passagem
  22   247   62    25.664192    17.082086     0.205314     0.076993     True  undefined
  23   247   68   184.353170   122.705470     1.474825     0.553060     True  undefined
  24   246   253    34.950167     0.000000     0.279601     0.104851     True   passagem
  25   246    6    23.683709     0.000000     0.189470     0.071051     True   passagem
  26   14   76   235.037660   156.441067     1.880301     0.705113    False  undefined
  27   14   101   116.512272    77.550568     0.932098     0.349537    False  undefined
  28   14   206   111.544608    74.244091     0.892357     0.334634    False  undefined
  29   14   135   203.929925   135.735758     1.631439     0.611790    False  undefined
  30   15   16    76.978997    51.237220     0.615832     0.230937    False  undefined
  31   15   121    14.066151     9.362430     0.112529     0.042198    False  undefined
  32   15   136   163.703098   108.960782     1.309625     0.491109     True  undefined
  33   16   15    76.978997    51.237220     0.615832     0.230937    False  undefined
  34   16   17    76.224403    50.734962     0.609795     0.228673    False  undefined
  35   16   240    37.704548    25.096147     0.301636     0.113114    False  undefined
  36   17   16    76.224403    50.734962     0.609795     0.228673    False  undefined
  37   17   19    79.464529    52.891591     0.635716     0.238394    False  undefined
  38   17   241    17.551248    11.682111     0.140410     0.052654    False  undefined
  39   18   20   167.707653   111.626214     1.341661     0.503123    False  undefined
  40   18   9    77.063833    51.293687     0.616511     0.231192    False  undefined
  41   18   10    72.832927    48.477596     0.582663     0.218499    False  undefined
  42   18   143    45.520921    30.298725     0.364167     0.136563    False  undefined
  43   19   17    79.464529    52.891591     0.635716     0.238394    False  undefined
  44   19   230    38.015921    25.303397     0.304127     0.114048    False  undefined
  45   19   155    74.735232    49.743770     0.597882     0.224206    False  undefined
  46   20   18   167.707653   111.626214     1.341661     0.503123    False  undefined
  47   20   22    78.044432    51.946374     0.624355     0.234133    False  undefined
  48   20   138    97.574692    64.945715     0.780598     0.292724    False  undefined
  49   21   22    61.884650    41.190423     0.495077     0.185654    False  undefined
  50   21   159    72.238940    48.082238     0.577912     0.216717    False  undefined
  51   21   221    45.165526    30.062174     0.361324     0.135497    False  undefined
  52   22   20    78.044432    51.946374     0.624355     0.234133    False  undefined
  53   22   21    61.884650    41.190423     0.495077     0.185654    False  undefined
  54   22   24   228.742015   152.250685     1.829936     0.686226    False  undefined
  55   23   234    26.780880    17.825354     0.214247     0.080343    False  undefined
  56   23   237    28.068797    18.682591     0.224550     0.084206    False  undefined
  57   23   224    44.141301    29.380450     0.353130     0.132424    False  undefined
  58   24   27    70.386540    46.849281     0.563092     0.211160    False  undefined
  59   24   159    73.310318    48.795348     0.586483     0.219931    False  undefined
  60   24   225    44.865003    29.862146     0.358920     0.134595    False  undefined
  61   24   22   228.742015   152.250685     1.829936     0.686226    False  undefined
  62   25   26    60.061650    39.977034     0.480493     0.180185    False  undefined
  63   25   235    48.272403    32.130112     0.386179     0.144817    False  undefined
  64   25   30    97.069752    64.609627     0.776558     0.291209    False  undefined
