Name:          CPS_Guarus  
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    7           
#Nodes:        279     
#Edges:        329         
#Arcs:         114         
#Required N:   0           
#Required E:   310         
#Required A:   92              

ReN.     DEMAND   S.COST  

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       14       76       0.71     156.44   1.88    
E2       14       101      0.35     77.55    0.93    
E3       14       206      0.33     74.24    0.89    
E4       14       135      0.61     135.74   1.63    
E5       15       16       0.23     51.24    0.62    
E6       15       121      0.04     9.36     0.11    
E7       16       17       0.23     50.73    0.61    
E8       16       240      0.11     25.10    0.30    
E9       17       19       0.24     52.89    0.64    
E10      17       241      0.05     11.68    0.14    
E11      18       20       0.50     111.63   1.34    
E12      18       143      0.14     30.30    0.36    
E13      19       230      0.11     25.30    0.30    
E14      19       155      0.22     49.74    0.60    
E15      20       22       0.23     51.95    0.62    
E16      20       138      0.29     64.95    0.78    
E17      21       22       0.19     41.19    0.50    
E18      21       159      0.22     48.08    0.58    
E19      21       221      0.14     30.06    0.36    
E20      22       24       0.69     152.25   1.83    
E21      23       234      0.08     17.83    0.21    
E22      23       237      0.08     18.68    0.22    
E23      23       224      0.13     29.38    0.35    
E24      24       27       0.21     46.85    0.56    
E25      24       159      0.22     48.80    0.59    
E26      24       225      0.13     29.86    0.36    
E27      25       26       0.18     39.98    0.48    
E28      25       235      0.14     32.13    0.39    
E29      25       30       0.29     64.61    0.78    
E30      26       237      0.13     29.59    0.36    
E31      26       226      0.13     28.62    0.34    
E32      26       29       0.21     47.68    0.57    
E33      27       28       0.15     34.22    0.41    
E34      27       32       0.22     49.22    0.59    
E35      27       227      0.13     29.29    0.35    
E36      29       32       0.40     88.56    1.06    
E37      29       35       0.22     49.87    0.60    
E38      30       276      0.16     36.01    0.43    
E39      30       38       0.39     86.87    1.04    
E40      238      239      0.35     77.30    0.93    
E41      240      241      0.22     48.76    0.59    
E42      31       276      0.18     40.75    0.49    
E43      31       163      0.34     75.34    0.91    
E44      31       151      0.86     189.77   2.28    
E45      31       45       0.87     191.98   2.31    
E46      33       153      0.90     199.79   2.40    
E47      33       164      0.33     73.42    0.88    
E48      33       166      0.48     106.32   1.28    
E49      32       34       0.19     42.44    0.51    
E50      32       36       0.22     49.12    0.59    
E51      35       36       0.40     88.88    1.07    
E52      35       38       0.23     49.97    0.60    
E53      36       37       0.18     40.60    0.49    
E54      36       39       0.22     48.87    0.59    
E55      38       39       0.40     89.03    1.07    
E56      38       41       0.22     48.26    0.58    
E57      39       40       0.21     47.57    0.57    
E58      40       42       0.20     43.59    0.52    
E59      40       43       0.19     42.42    0.51    
E60      41       279      0.41     91.75    1.10    
E61      43       44       0.07     14.67    0.18    
E62      43       249      1.98     439.00   5.28    
E63      44       278      0.15     33.45    0.40    
E64      44       279      0.15     34.02    0.41    
E65      208      211      0.32     71.01    0.85    
E66      208      263      0.41     89.93    1.08    
E67      209      210      0.23     50.07    0.60    
E68      209      267      0.17     38.19    0.46    
E69      209      213      0.39     87.53    1.05    
E70      210      212      0.22     49.19    0.59    
E71      210      265      0.03     5.75     0.07    
E72      211      263      0.45     100.64   1.21    
E73      274      275      0.16     35.93    0.43    
E74      276      277      0.62     136.64   1.64    
