Name:          PqSãoMatheus_PqGuarus
Optimal value:             
#Vehicles:     -1          
Capacity:      10000       
Depot Node:    1           
#Nodes:        281         
#Edges:        329         
#Arcs:         119         
#Required N:   0           
#Required E:   294         
#Required A:   91          

ReN.     DEMAND   S.COST  

ReE.     From N.  To N.    T. COST  DEMAND   S.COST  
E1       4        5        0.07     16.05    0.19    
E2       4        6        0.49     108.97   1.31    
E3       9        11       0.18     39.34    0.47    
E4       14       15       0.02     3.36     0.04    
E5       14       16       0.79     174.68   2.10    
E6       22       23       0.71     156.44   1.88    
E7       22       24       0.35     77.55    0.93    
E8       22       25       0.33     74.24    0.89    
E9       22       26       0.61     135.74   1.63    
E10      27       28       0.23     51.24    0.62    
E11      27       29       0.04     9.36     0.11    
E12      28       31       0.23     50.73    0.61    
E13      28       32       0.11     25.10    0.30    
E14      31       33       0.24     52.89    0.64    
E15      31       34       0.05     11.68    0.14    
E16      35       36       0.50     111.63   1.34    
E17      35       37       0.23     51.29    0.62    
E18      35       38       0.22     48.48    0.58    
E19      35       39       0.14     30.30    0.36    
E20      33       40       0.11     25.30    0.30    
E21      33       41       0.22     49.74    0.60    
E22      36       42       0.23     51.95    0.62    
E23      36       43       0.29     64.95    0.78    
E24      44       45       0.22     48.08    0.58    
E25      44       46       0.14     30.06    0.36    
E26      42       44       0.19     41.19    0.50    
E27      42       47       0.69     152.25   1.83    
E28      48       49       0.08     17.83    0.21    
E29      48       50       0.08     18.68    0.22    
E30      48       51       0.13     29.38    0.35    
E31      47       52       0.21     46.85    0.56    
E32      47       53       0.13     29.86    0.36    
E33      54       55       0.18     39.98    0.48    
E34      54       56       0.14     32.13    0.39    
E35      54       57       0.29     64.61    0.78    
E36      55       58       0.13     28.62    0.34    
E37      55       59       0.21     47.68    0.57    
E38      52       60       0.15     34.22    0.41    
E39      52       61       0.22     49.22    0.59    
E40      52       62       0.13     29.29    0.35    
E41      59       61       0.40     88.56    1.06    
E42      59       63       0.22     49.87    0.60    
E43      57       64       0.16     36.01    0.43    
E44      57       65       0.39     86.87    1.04    
E45      66       67       0.35     77.30    0.93    
E46      66       68       0.10     21.58    0.26    
E47      66       69       0.14     31.09    0.37    
E48      67       70       0.10     22.38    0.27    
E49      67       71       0.80     178.38   2.14    
E50      32       34       0.22     48.76    0.59    
E51      32       72       0.12     27.35    0.33    
E52      73       74       0.34     75.34    0.91    
E53      73       75       0.86     189.77   2.28    
E54      73       76       0.87     191.98   2.31    
E55      34       78       0.13     28.75    0.35    
E56      79       80       0.90     199.79   2.40    
E57      79       81       0.33     73.42    0.88    
E58      79       82       0.48     106.32   1.28    
E59      61       83       0.19     42.44    0.51    
E60      61       84       0.22     49.12    0.59    
E61      63       84       0.40     88.88    1.07    
E62      63       65       0.23     49.97    0.60    
E63      84       85       0.18     40.60    0.49    
E64      84       86       0.22     48.87    0.59    
E65      65       86       0.40     89.03    1.07    
E66      65       87       0.22     48.26    0.58    
E67      86       88       0.21     47.57    0.57    
E68      88       89       0.20     43.59    0.52    
E69      88       90       0.19     42.42    0.51    
E70      87       91       0.26     57.86    0.70    
E71      87       92       0.41     91.75    1.10    
E72      90       93       0.07     14.67    0.18    
E73      90       94       1.98     439.78   5.29    
E74      93       95       0.15     33.45    0.40    
E75      76       96       0.15     34.32    0.41    
E76      76       97       0.31     69.46    0.83    
E77      100      101      0.32     71.01    0.85    
E78      100      102      0.25     55.78    0.67    
E79      100      103      0.41     89.93    1.08    
E80      104      105      0.23     50.07    0.60    
E81      104      106      0.17     38.19    0.46    
E82      104      107      0.39     87.53    1.05    
E83      105      108      0.22     49.19    0.59    
E84      105      109      0.03     5.75     0.07    
E85      101      110      0.26     57.59    0.69    
E86      101      103      0.45     100.64   1.21    
E87      107      115      0.06     13.38    0.16    
E88      107      116      0.46     102.36   1.23    
E89      117      118      0.47     104.50   1.26    
E90      122      123      0.16     35.93    0.43    
E91      122      124      0.32     71.90    0.86    
E92      122      125      0.13     29.52    0.35    
E93      64       73       0.18     40.75    0.49    
E94      64       126      0.62     136.64   1.64    
E95      127      128      0.12     26.39    0.32    
E96      127      129      0.26     57.25    0.69    
E97      127      130      0.28     62.29    0.75    
E98      37       133      0.13     29.86    0.36    
E99      37       134      0.21     47.46    0.57    
E100     37       135      0.13     28.56    0.34    
E101     38       140      0.14     30.17    0.36    
E102     38       43       0.38     84.14    1.01    
E103     91       96       0.11     23.70    0.28    
E104     91       95       0.47     104.76   1.26    
E105     103      146      0.17     37.03    0.45    
E106     109      147      0.30     66.66    0.80    
E107     109      148      0.19     41.28    0.50    
E108     106      149      0.12     26.62    0.32    
E109     106      150      0.02     3.79     0.05    
E110     92       93       0.15     34.02    0.41    
E111     92       95       0.07     14.47    0.17    
E112     94       155      0.47     104.97   1.26    
E113     94       96       0.35     76.92    0.92    
E114     72       78       0.22     48.80    0.59    
E115     72       140      0.13     29.33    0.35    
E116     40       78       0.23     50.84    0.61    
E117     40       156      0.21     47.53    0.57    
E118     40       133      0.13     28.12    0.34    
E119     156      157      0.13     28.50    0.34    
E120     158      159      0.18     40.22    0.48    
E121     159      160      0.16     36.36    0.44    
E122     49       159      0.09     19.38    0.23    
E123     49       134      0.13     29.90    0.36    
E124     56       158      0.17     37.59    0.45    
E125     56       160      0.13     29.21    0.35    
E126     50       55       0.13     29.59    0.36    
E127     50       160      0.09     19.69    0.24    
E128     163      164      0.69     152.58   1.83    
E129     163      165      0.41     91.12    1.10    
E130     163      166      0.52     115.32   1.39    
E131     167      168      0.08     17.46    0.21    
E132     168      169      0.35     77.53    0.93    
E133     168      170      0.50     110.65   1.33    
E134     171      172      0.13     27.90    0.34    
E135     171      173      0.30     66.29    0.80    
E136     171      174      0.22     49.68    0.60    
E137     173      175      0.29     63.38    0.76    
E138     124      176      0.17     37.07    0.45    
E139     124      177      0.48     106.35   1.28    
E140     165      178      0.47     103.82   1.25    
E141     165      179      0.43     94.57    1.14    
